subset,gridid,expansion_rate_n_mn,expansion_rate_area_mn,expansion_rate_n_se,expansion_rate_area_se,forest_px_sum,dist_px_sum,rate
total,147,0.6214296609913319,0.7929037683494448,0.02593596323000785,0.05957585266249539,536188.5,3721.05967203776,0.00693983491260584
total,148,0.34786324786324785,0.36738282065194705,0.0631351502031586,0.058204049495492925,2324.807861328125,5.360276662386381,0.00230568588120832
total,157,0.8014817176560745,0.9519117088826702,0.018686219751530564,0.005761371352860048,2299096.5,59440.2242588141,0.0258537317849921
total,158,0.7019261755350015,0.9111861355933485,0.01833081693534031,0.010180528257161375,1483001.25,26152.84467648237,0.01763507932072368
total,159,0.6041495204006663,0.8341679615597047,0.021672061752925718,0.01535504478289576,1591691.5,19392.85344050481,0.01218380159754877
total,160,0.5636924271484686,0.8514926175132823,0.028038355530009267,0.01769604064273525,1755378.625,14633.864958934297,0.00833658605073551
total,161,0.5391080695264447,0.9033918127151902,0.013819043922186204,0.01411368351186851,3876667,29663.355568910258,0.00765176776052992
total,162,0.30639629224363013,0.5549837530766489,0.024467371303607363,0.07020863950845481,601368.4375,1334.6543469551282,0.00221936214761042
total,163,0.3930047505714912,0.7527999070965503,0.03398132534661766,0.04020450236712777,1914746.875,9841.663567958734,0.00513992930159958
total,164,0.42830061363567773,0.7542955731545476,0.030856300783764907,0.028619941557272554,4868060.5,54731.72413361378,0.01124302463652902
total,165,0.5969436706306455,0.8516965008661344,0.057829166721956274,0.03700282813255644,435577.84375,5424.337335048578,0.01245319846470859
total,167,0.7766977162599851,0.9023076452659659,0.04269773018430898,0.020015165554576317,582945.8125,5270.532323592748,0.00904120453492879
total,168,0.8317971625377213,0.9121819308725098,0.03241401106157707,0.013377354132684063,327276.09375,3382.1275754097182,0.01033417240060699
total,172,0.6247167703533263,0.8085489118216224,0.02633925447964504,0.017381421702647705,1277690.125,9992.524733323316,0.00782077323586054
total,173,0.6652666556699893,0.8306858451358555,0.024685812562184672,0.022402124186623892,3148077.75,25470.725830078125,0.00809088207242598
total,178,0.807109125606347,0.9115133430192556,0.012580690234064013,0.00497479877861605,2864871.75,30485.47991786859,0.01064113251068519
total,179,0.7301186215631585,0.8693523602877214,0.012982564382579088,0.012431453692682152,2012455.625,14836.349959935897,0.00737226191506006
total,180,0.7384848484848484,0.8156074161783124,0.049962336595211994,0.06964231023995575,18763.6875,239.56410256410257,0.01276743191145677
total,181,0.614124353709172,0.695421647289954,0.07375786753702421,0.09767272232112038,9049.8447265625,64.50912319085536,0.00712820221119512
total,182,0.6596262166082114,0.8007491169612796,0.014432486397963547,0.018771829687163386,1989337.25,11185.790614983976,0.00562287295177525
total,183,0.63523542961064,0.8242263811338529,0.02293198298787188,0.016253106550134767,5550820,21241.72563601763,0.0038267725554094
total,184,0.6247351242227828,0.8241628709417912,0.023023609486452355,0.018629166660877914,2652374.25,15709.830259665465,0.00592293122272072
total,185,0.48208720701841257,0.7687293418091852,0.05021671256702838,0.042949572324178106,1108284.625,10886.528846153846,0.00982286373065389
total,187,0.5372819381149669,0.6615991416030623,0.03543052951471568,0.06205135102308694,320332.46875,1652.2972580347305,0.00515806987809358
total,188,0.5757145493902374,0.6566060190601264,0.03288537995603186,0.06871767491086896,85916.875,465.5405995295598,0.00541850014365117
total,196,0.8604206657305306,0.969110199507875,0.0153432656842623,0.005383274345679721,1981651.875,73985.63228665866,0.03733533282007903
total,197,0.7846703665704273,0.9583986511864248,0.021956111493338003,0.012000843755830864,4063218.25,154696.58102964744,0.03807242720216849
total,198,0.6593832091889212,0.8997417334804746,0.03049988988929188,0.02077442074313889,1396876.625,24686.787998297277,0.01767284780665384
total,199,0.5521032502207353,0.8129356351516569,0.023501146421643616,0.020292838433954047,3229783.75,20121.85798527644,0.0062300945025426
total,200,0.5286037820579477,0.8168092742819685,0.023854027351549702,0.021657265611207673,2801347.25,19267.28789813702,0.00687786489095095
total,201,0.3142186957837405,0.48172308311926376,0.04774003461292339,0.05841378811717447,897369.3125,2704.383969037961,0.00301368002155518
total,202,0.38604848782159024,0.6249039950805331,0.033855654267089454,0.024218512721445856,5408191.5,19649.36430789263,0.00363325971498838
total,203,0.48761808670512236,0.7200424310387973,0.022994341863077535,0.03531315417200946,3504243.25,17315.596410506812,0.00494132261238052
total,204,0.5764882618723666,0.7592607541783071,0.022288735683722676,0.01913787458735465,3722285.75,22140.60985076122,0.0059481220244204
total,205,0.5263087374557867,0.6723471706466293,0.04801308799455453,0.04840692911401559,337031.4375,2995.063194861779,0.00888659887955342
total,211,0.642872984421694,0.7962603223037638,0.02082171161286736,0.013899236415021837,537531.0625,4377.006532326723,0.00814279738917734
total,212,0.7091320611086233,0.8870293095340657,0.025233924223449524,0.015681454179568434,2112431,16825.713053385418,0.00796509474315867
total,215,0.7704948070760319,0.880042859300707,0.024748222958324857,0.019889985885127106,467164.125,4796.156929211739,0.0102665351908427
total,216,0.7652686243886451,0.8748550104527586,0.0048392320118282655,0.008566094615467888,1936863.75,19509.11967898638,0.01007253074925191
total,217,0.7808898209977618,0.8885320385801911,0.012366824438934722,0.009827167763794654,2421269.75,19314.4661708734,0.00797699891590906
total,218,0.7510677956904012,0.9207298919039608,0.02004002847445847,0.012634280281980579,749933.1875,9634.50912084335,0.0128471566286608
total,219,0.7930784901373137,0.8864187455687732,0.038436093882968446,0.03512825230602111,104958.171875,1648.3178304036458,0.01570452115311908
total,220,0.754313576101922,0.9118972741625522,0.026237435794432228,0.01726582336762509,181168.40625,2518.5152697440903,0.01390151473910253
total,221,0.7109486545753189,0.8760132924747236,0.02075976576882464,0.015598111255588363,2904864.75,21288.68891476362,0.00732863342940962
total,222,0.7005154026632504,0.8687766166806133,0.02940371274039489,0.012955118766737042,4157429.5,22690.7642978766,0.00545788312174063
total,223,0.669579241534725,0.8607168853653673,0.0232513682806805,0.012229594642829598,2158705.75,11859.76938726963,0.00549392588001844
total,224,0.6292977399741172,0.7723517304697544,0.014592175277426959,0.021480968016651544,1819976.25,14256.779872796476,0.00783349775734517
total,225,0.8077216621104631,0.8439742043873079,0.03187795645499625,0.036044455888470175,45022.64453125,91.2848977309007,0.00202753300436495
total,226,0.6219715956558062,0.6703659581552827,0.05205523102671594,0.059200043432463795,29877.662109375,67.72624177199144,0.00226678518299262
total,235,0.8561058857606662,0.9869580916141268,0.01547517624372256,0.0023492778652569085,903963.125,38048.32431578025,0.04209057124512712
total,236,0.7818394307710151,0.9638613452728559,0.007734636132472151,0.008659034133864672,7287213.5,344667.7243589744,0.04729760207505576
total,237,0.7302881017739037,0.929149527572686,0.020674295859481648,0.015165620558899263,3553564.5,102171.8515625,0.02875193388568013
total,238,0.5921046668137311,0.8690778317743014,0.013029608421763345,0.01683314450951954,2473920.5,30882.66609074519,0.0124832896169239
total,239,0.5734485453826667,0.8456939086091176,0.020506498373930985,0.011978081991572884,2108050.5,17612.779947916668,0.00835500854837996
total,240,0.5413618129652072,0.7698989924442897,0.02280169250716426,0.012961693017506529,4033372.75,20599.53039863782,0.00510727167446594
total,241,0.4602826572805269,0.7863013383520693,0.022714820402259864,0.0251751848745534,3025219.25,19629.955603966348,0.0064887712201244
total,242,0.38890491748882394,0.7110003710808372,0.029802402980169566,0.04227066907532437,1626779.375,6594.856376452323,0.00405393409690378
total,243,0.45685114378627645,0.5881528114267064,0.03250741941367454,0.05156595520153629,1031655.625,3231.2965400891426,0.00313214648549911
total,244,0.558016480533307,0.7289480773741501,0.02398168142370143,0.014717492285109645,3404894.25,24007.983673878207,0.00705102182655987
total,245,0.6321461062234816,0.8184310362904161,0.013703445552257132,0.007916722437916343,4757533.5,46903.22658754006,0.00985872755021905
total,246,0.5931593918741696,0.8097670144415797,0.015492718855038886,0.014514820074071202,330845.5,3448.992455115685,0.01042478273126182
total,250,0.7192672674965894,0.8443296698478544,0.030977910468051477,0.018780606911020653,1766451.75,14953.861127804486,0.00846547952855462
total,251,0.6308318478145509,0.8204982768014031,0.03225002037996107,0.020887312480139565,3086343.75,24874.14416816907,0.00805942117373318
total,252,0.79706887701585,0.9495708493579453,0.04207732096122627,0.01491075611677491,56931.296875,788.6884262867463,0.01385333673354417
total,253,0.7382059986934266,0.90830240632511,0.016926252855947996,0.012016886404642222,1065401.875,14652.312757443158,0.01375285054519277
total,254,0.7160071357266812,0.8406479612753501,0.020056213748500067,0.014646443224134362,4180328.5,26675.372880984574,0.00638116666692212
total,255,0.7130214099686697,0.8337640076550183,0.01805123149066406,0.010757583957475956,3552970.75,22604.72746394231,0.00636220477298956
total,256,0.8181428856111262,0.8918744235323436,0.01689214550675597,0.014674799391414781,808147.25,7869.41146459335,0.00973759604402953
total,257,0.6938095238095238,0.7468842583213912,0.055120976002469804,0.08881883286510105,4832.3115234375,48.36949497614151,0.01000959783771008
total,259,0.6775788711496272,0.8479201210681113,0.02344785875503531,0.02010204471385966,644689.4375,6695.726697090345,0.01038597238858957
total,260,0.6478695113093424,0.8381536170323264,0.022103289511272228,0.00817047851584145,5199448,34965.214668469554,0.00672479360664238
total,261,0.6869582663369506,0.8502856248784036,0.018291824996726862,0.00811177311498722,5081735.5,36694.52974759616,0.00722086573525838
total,262,0.6384521869730646,0.8411484665785566,0.02482271630269936,0.015340029029867402,4333638.5,33959.01685196314,0.00783614435121045
total,263,0.6551908236753128,0.7935464879481946,0.030801589989552697,0.01968883162863184,3919985.25,28872.65840344551,0.00736550179709107
total,264,0.5574976405002497,0.6981810458837792,0.027045998388250395,0.01911899859100367,1815262.875,8554.919374123598,0.00471277162770356
total,265,0.5967144097195805,0.803624500986212,0.026129174320620743,0.03628801349864185,1075898.75,9348.838363256207,0.00868932914296648
total,275,0.8431752950863022,0.9632747786364911,0.009182153531831468,0.007411965344638434,4304639,202519.82932692303,0.04704687880375638
total,276,0.7590815407026426,0.9267167190922215,0.02244194170479413,0.011448460005180022,3811863.5,104955.5078125,0.02753391033348912
total,277,0.6580469586559801,0.8760332119503503,0.029371657634996554,0.016161850134232686,2676844,52675.808253361625,0.01967832576472952
total,278,0.6249679053353911,0.8576101167332705,0.016875668761812464,0.014468782286169213,848062.625,9536.5882036258,0.01124514619852018
total,279,0.6237123301559696,0.799457733396197,0.014904413574221165,0.01193812384875123,2436500.5,16256.285919971957,0.00667198136014006
total,280,0.6715049949108313,0.8677406439851161,0.013688846175706227,0.0075286871627303215,4862161.5,52892.987379807695,0.01087849249347387
total,281,0.5302306251195169,0.7817661982747556,0.018399290971297253,0.024578364506316397,2217396,13421.077993539664,0.00605263019935981
total,282,0.510296311153698,0.664914292196479,0.02787577925505003,0.025146511669467148,4877862.5,12221.228956956127,0.00250544761295672
total,283,0.6236605478192982,0.7546488302848955,0.016242030689996207,0.008350574522371493,5904781,27856.761505909457,0.00471766209549676
total,284,0.5977070080181479,0.7566779302244308,0.023262585280457358,0.014725721742658194,7234242,43884.194536258015,0.00606617729075942
total,285,0.5671721056719945,0.7444962938885699,0.03296128397311211,0.038334133084158034,505145.0625,5192.971987993289,0.01028015984614971
total,287,0.6873948777814892,0.8664269162910482,0.035312939833119936,0.026360828132807844,834563.3125,11998.95294971955,0.01437752267563229
total,288,0.7695164386370279,0.9291947786602568,0.05079074004166453,0.019974999965797463,80562.1484375,1162.5796538132888,0.0144308422300234
total,289,0.6970289229994578,0.8256568766905787,0.019654336491191905,0.01782149597159224,180448.078125,2902.8921336638623,0.01608713245287639
total,290,0.6937481839487409,0.8594976378802068,0.02285918234647611,0.017443841184570805,1020172.6875,18737.8721194145,0.01836735324225635
total,291,0.7419202087240487,0.9116059209775011,0.023398292661113287,0.0077144528354626644,2746355.5,40005.36758814102,0.0145667112608477
total,292,0.7672609067013456,0.9005443763371017,0.005983636973778448,0.004571871943935997,3436989.25,45217.1734775641,0.01315604157841462
total,293,0.6774134723940123,0.796838864009288,0.009992819365114113,0.009479826961572922,4235452.5,19692.241536458332,0.00464938316188372
total,294,0.654896082008758,0.6378278696004488,0.072195006002429285,0.070401985965773,92629.9609375,210.0588897802891,0.00226772080711576
total,296,0.7877172113936028,0.8742027599196502,0.021841428325989842,0.015214344988776813,432037.5625,4972.579489683493,0.01150959990818736
total,297,0.7136553663032235,0.9178784873782209,0.014462502324417216,0.00883243334023375,2697868.5,33025.61693709936,0.01224137386129062
total,298,0.6644887854976672,0.8637760977768996,0.020047837356342125,0.013753855028142829,5718580,47308.477989783656,0.00827276666406409
total,299,0.7308146549046454,0.8734915065662732,0.01949423277580986,0.013708498433681736,5174950,44968.394230769234,0.00868962873665817
total,300,0.6728940381806612,0.8154846195662175,0.020615038497021267,0.015772398192082406,4640478,37501.81817157451,0.0080814558697562
total,301,0.6267818868931022,0.7710423308368329,0.021634442248645493,0.01902973474718833,6274884.5,36145.742362780446,0.00576038369515493
total,302,0.6259368885360072,0.7268479287445044,0.024046146254096647,0.0157140871362041,7566059.5,42589.3938301282,0.0056290059350086
total,303,0.6303046310148025,0.7668058090847827,0.019282462159256955,0.012958591843937911,5234518,34478.44815454727,0.00658674746262163
total,304,0.6487916255190649,0.8337154693941646,0.021132779720343466,0.0184662899238206,2217164.75,19751.08790314503,0.00890826353934457
total,314,0.787900470489737,0.9446950575054622,0.013515598578491723,0.01242610997931594,4460617.5,191029.6838942308,0.04282583832714434
total,315,0.7372376040142303,0.9255862984291515,0.014214087407456832,0.010088690997302103,7668381,263089.7239583333,0.03430837929914193
total,316,0.699656332292678,0.9125921792727651,0.021355847285310956,0.012989663700185294,6649877,188605.5680088141,0.02836226414545924
total,317,0.7141085672287923,0.8840178003568916,0.014708206825014765,0.011051106830915897,4143148,57414.09202223558,0.01385760103723921
total,318,0.748670504149283,0.9214799460687194,0.025880811505707757,0.012665963713000992,4988372.5,61174.5719150641,0.01226343299644605
total,319,0.7071449293303227,0.908676169925352,0.028770490178013454,0.015289052476295447,5561537.5,75823.57892628205,0.01363356426640691
total,320,0.6964096833834494,0.868037036749738,0.02467699442666536,0.009176489389673399,5209564.5,30297.442407852563,0.00581573419579555
total,321,0.6840355531530967,0.7453623392383357,0.016800534496781136,0.012976272056031362,3869316.25,13393.136549729566,0.00346137035186244
total,322,0.6352941518936865,0.7310966386671248,0.0214136912991338,0.030828280901138712,2445267.75,12023.787027994793,0.00491716583101985
total,323,0.6169162138928059,0.7822023051226263,0.015042392678567482,0.013468905819833297,3252139.75,19319.554030198316,0.0059405669852282
total,324,0.5452346624032364,0.7538286641672126,0.024595188369722767,0.01824181811747475,4081279.25,28939.802077073316,0.00709086546260546
total,325,0.627080377876041,0.8197918340259746,0.03470725411966293,0.016921041631252017,1703680.5,15225.99934739333,0.00893712133665516
total,326,0.683777880817505,0.8556526861434036,0.016273306033584956,0.007148381995775497,5645903.5,56314.0680088141,0.00997432350886162
total,327,0.6463334654705344,0.788191121291617,0.022180898116120857,0.019856311401345528,4567094,33792.99717047276,0.00739923399222191
total,328,0.6412194254206145,0.7731347296509811,0.026341350115259596,0.024831677699854966,1395686.875,7559.672954852765,0.00541645342538079
total,329,0.6011955203675522,0.6735862290093744,0.018297735914982603,0.03287613884307317,764301.9375,3843.093618539664,0.00502824005799365
total,330,0.6868655411233487,0.8356010312600416,0.014916751115997887,0.009994546744891798,4650759,30668.08130508814,0.00659420995693136
total,331,0.687435709324148,0.825593267326746,0.030710326680055612,0.01961978783841854,4849302.5,32030.91095753205,0.00660526146956846
total,332,0.5875300483842976,0.712133031693046,0.026310284565406964,0.02743361190276111,649968.25,1865.2193767841045,0.0028697084461958
total,334,0.7070492865836839,0.8843836225295271,0.019372899178079384,0.014926716425743123,994300.1875,10660.32391826923,0.01072143408226927
total,335,0.6949103827090297,0.8654841133760245,0.022702472087685284,0.017431374435469004,3856654.5,34376.21487505008,0.00891348055031895
total,336,0.6845192612616856,0.8618504690122021,0.030512895736648924,0.0214924053710927,6546831.5,42795.817933693914,0.00653687481244842
total,337,0.7118368702898016,0.8441702615245127,0.05034509846357897,0.03214702233201276,7667119.5,65682.11927834536,0.00856672695375953
total,338,0.7232719208200296,0.8154806342952712,0.03192293400178531,0.02226769289891139,7583303.5,68517.4756234976,0.00903530705628458
total,339,0.6736598609268526,0.7651637639046261,0.0267922764537147,0.021578653958181173,6800957,55366.6823417468,0.00814101343998304
total,340,0.665515776193233,0.798092053418281,0.020118236021260793,0.011822688934859972,6186833.5,47342.465770232375,0.0076521318652316
total,341,0.7109078250279641,0.8279143979009764,0.02589976465527568,0.022179780780418695,6442346.5,55555.479066506414,0.00862348510228476
total,342,0.6849054319890789,0.7936497698462901,0.018804138661873457,0.01642542850601295,5372823,46387.08407201523,0.00863365200603392
total,343,0.7559166279157395,0.8820453008313149,0.013562588798678539,0.006373104213599804,2997902.5,32322.54210486779,0.0107817189201009
total,344,0.6634711444684723,0.7818801168169488,0.05018495014713267,0.03218781101584046,2162483.75,13443.264748597756,0.00621658532629332
total,353,0.8463461205672185,0.9611120935388573,0.008784069470825618,0.007274410560063195,3433188.5,138448.75380608975,0.04032658090462838
total,354,0.8345386170142203,0.9477950205125893,0.009651115605624967,0.006608553100881873,6103484,184168.2508012821,0.03017428255751667
total,355,0.7692207137741215,0.9460239779492159,0.010685834076458163,0.0076304020493004575,5485178,131510.4802684295,0.02397560849774237
total,356,0.8234453733853939,0.9470152436050489,0.013670992582155981,0.006212639252664985,2589565.25,35097.636192908656,0.01355348593471767
total,357,0.840845866678581,0.9675606505669245,0.010117914545837542,0.004147178141615811,701820.3125,18696.03660857372,0.0266393495252016
total,358,0.8383599271862089,0.9625869989785196,0.016362356500140642,0.005998587671293756,20155.423828125,201.00042939797427,0.00997252308420808
total,359,0.7408107713896394,0.9848425002876552,0.01838577546387803,0.0025346623999683753,1834989.125,77890.73858173077,0.04244752054415078
total,360,0.7595675356342604,0.9816812686126974,0.00942015780153755,0.0028318303393932514,7479150,332249.62620192306,0.04442344734387237
total,361,0.7052070719134054,0.8824281975536998,0.009463055932339266,0.008346710347261262,2254462.25,16293.184595352564,0.0072270824651655
total,362,0.6609440351363042,0.7521362875389439,0.02770951225450732,0.02924628073155335,3794851.75,18214.265174278848,0.00479973036477086
total,363,0.7514344913983474,0.8741372188029661,0.024420445700722063,0.012738998100600654,5570062,54439.33944310898,0.00977356076882249
total,364,0.6040988771510153,0.7850842992949528,0.013568501577895959,0.017238283609967327,5765154.5,41453.1393729968,0.00719029114883162
total,365,0.6116534799658586,0.746215353270636,0.02497518412511387,0.017491212028533078,5519278.5,23510.52100861378,0.00425970912839672
total,366,0.7169850335723958,0.8278871295314146,0.01555831419230573,0.007331210198210708,4072912.75,26481.01031650641,0.00650173768551914
total,367,0.7052837452301919,0.8042627363405995,0.01625929621506548,0.00893940531577504,3787684.25,21399.85600711138,0.00564985215098417
total,368,0.6003822359960622,0.7131555314215987,0.013739699777704477,0.011980554977536043,5186850,20007.77537810497,0.00385740389217057
total,369,0.6704968645562346,0.8054523113823489,0.02460365332265259,0.02293881319849337,1833453.125,11965.409705528846,0.00652616068683449
total,370,0.5892592102538978,0.740990750955184,0.04915563894059723,0.040604686613826955,183962.484375,1592.2557537372295,0.00865532860760611
total,371,0.8111283229820475,0.892970967641533,0.01824093419984305,0.008182701291064543,296799.90625,3899.6846876878,0.0131391035022869
total,372,0.6518835892393379,0.7935503977262536,0.032814795444074576,0.02280896208545315,1634160.375,9673.306876940604,0.00591943546357291
total,373,0.6467896569607693,0.8068855763103565,0.05275774610758583,0.02861562161783084,6342575,30808.338635566903,0.00485738657178936
total,374,0.5830989162048574,0.7060824185121527,0.04860523328948257,0.050991534606160654,6868886,36656.08934294872,0.00533654064763175
total,375,0.7124608595625599,0.7588021040746432,0.0324854270250842,0.03319701714621155,7360784,44764.22191756811,0.00608144756286397
total,376,0.7055756768208422,0.8040132231288938,0.03267089709806422,0.025041815994651946,6068356.5,37421.853396684695,0.00616671967058703
total,377,0.8189587467682415,0.8634843858882365,0.021092295320678797,0.022489718658856017,4447438.5,51569.46786107773,0.01159531893719895
total,378,0.7039274733719398,0.805907555523554,0.031697070329331424,0.026554318821552583,6720445.5,64574.64297876602,0.00960868486750856
total,379,0.6586823876825455,0.8283919274841283,0.021766432425630956,0.022231732612352964,1606119.375,22502.341471354168,0.01401037919199136
total,380,0.781323887664911,0.8987400704078925,0.019347252804925226,0.013945840032310919,954057.0625,16465.831599308895,0.01725874923682449
total,381,0.6967415863814209,0.8293405353416684,0.01634029122852852,0.015980471010252916,2310743.75,26612.654697516027,0.01151692163941416
total,382,0.6276926564900284,0.7831360168315414,0.024455645340055943,0.021764283525454103,3629617.5,27750.302145933492,0.00764551695762253
total,383,0.6194074661838345,0.8093691286939019,0.03677747267965939,0.017662137861680506,1574116.25,13736.845502804486,0.00872670331864275
total,393,0.8479331305967206,0.9544576714596503,0.006465797258366318,0.005771093422871691,494259.78125,10560.762294671476,0.02136682508935471
