gridid,dist_px_sum
21,151
22,141
30,885
31,350
32,30
42,57336.875
43,14969.359375
44,1492.5035400390625
45,316
46,0
59,4222.41650390625
60,16790.861328125
61,6388.396484375
67,12190.8759765625
68,1987.1478271484375
72,32
73,0
79,10
80,2332.12060546875
81,23583.458984375
82,9797.5458984375
83,4906
84,1547
85,558
86,300
98,842.316650390625
99,10622.5029296875
100,8522.876953125
101,19033.642578125
104,0
105,6288
106,57637.9765625
107,2292
108,37
111,9
112,4
118,111263.2734375
119,16133.416015625
120,120063.625
121,94107.9140625
122,58116.609375
123,42719.32421875
124,2762.004150390625
125,11005.091796875
126,3437.609619140625
128,2077.787353515625
129,30
133,9002
134,13027
139,19
140,29883.642578125
141,125
143,0
144,12974.095703125
145,6381.8154296875
146,7312.25927734375
147,2941.792236328125
148,25.207870483398438
157,66030.6328125
158,31120.4921875
159,26046.962890625
160,20508.365234375
161,34506.875
162,6098.48486328125
163,23420.65625
164,19280.404296875
165,4722.37841796875
167,6456.3095703125
168,6086.90283203125
172,15848.5009765625
173,24026.412109375
178,16366.9853515625
179,11035.0146484375
180,69
181,17
182,14748.0048828125
183,23775.521484375
184,7594.8896484375
185,5996.3466796875
187,5311.72802734375
188,396.2721862792969
196,71792.5234375
197,229035.21875
198,33925.70703125
199,42693.16015625
200,40137.31640625
201,2118.70068359375
202,17449.267578125
203,5465.62841796875
204,4635.88720703125
205,461
211,2752.374755859375
212,14163.712890625
214,0
215,4062.944580078125
216,11343.9541015625
217,23260.955078125
218,13282.7255859375
219,879
220,1658
221,17462.140625
222,23415.71484375
223,7741.3583984375
224,14145.83984375
225,25
226,17
235,42676.75390625
236,320713.34375
237,137780.046875
238,25050.810546875
239,21434.197265625
240,21107.880859375
241,25490.29296875
242,2596.34619140625
243,597.59832763671875
244,8445.333984375
245,28920.3671875
246,2992.18310546875
250,14747.5947265625
251,22033.44140625
252,1965.5118408203125
253,12078.1220703125
254,16106.0810546875
255,20334.1796875
256,7020.53076171875
257,106
259,5305.6650390625
260,12922.87890625
261,26851.83984375
262,20979.25390625
263,26390.78125
264,3959.384765625
265,4970.47607421875
275,283622.4375
276,199909.453125
277,90238.1328125
278,19548.2578125
279,18457.8203125
280,36467.64453125
281,6676.521484375
282,2630.6904296875
283,3468
284,14511.1162109375
285,2209.708984375
287,4047.974609375
288,434
289,1826.3302001953125
290,21634.634765625
291,39661.76953125
292,45071.84765625
293,12211.9208984375
294,59
296,30988.607421875
297,17937.470703125
298,11458.9423828125
299,20963.044921875
300,28350.1171875
301,18359.953125
302,33655.28515625
303,18539.755859375
304,15311.72265625
314,316228.5
315,379063.75
316,309252.34375
317,60469.83203125
318,70973.1640625
319,99032.15625
320,38160.546875
321,6948.47509765625
322,5245.947265625
323,12993.7861328125
324,14018.20703125
325,15942.595703125
326,45808.859375
327,12331.5078125
328,10281.6474609375
329,3607.9228515625
330,23287.5546875
331,26045.7265625
332,1028.0076904296875
334,2126
335,4166.81396484375
336,7951.27490234375
337,6388.40185546875
338,7815.02001953125
339,25955.9453125
340,29816.216796875
341,20066.412109375
342,14078.1064453125
343,30413.705078125
344,16991.193359375
353,213933.125
354,191834.46875
355,118338.71875
356,32440.07421875
357,17918.67578125
358,297.57330322265625
359,49577.57421875
360,198353.265625
361,8427.5
362,6720.75048828125
363,41947.24609375
364,44971.5625
365,13962.0234375
366,9149.5947265625
367,24628.607421875
368,13907.6923828125
369,9160.0693359375
370,1742.0887451171875
371,1788.1683349609375
372,941.51898193359375
373,9334.501953125
374,20086.14453125
375,15430.28515625
376,4603.44677734375
377,8277.498046875
378,24968.607421875
379,24687.974609375
380,28414.484375
381,7368.12744140625
382,15731.6015625
383,14509.822265625
393,9616.2841796875
398,1376.606689453125
399,87243.7421875
400,16827.849609375
401,27613.314453125
402,18762.255859375
403,18161.234375
404,12392.8671875
405,11763.630859375
406,23303.501953125
407,9549.78515625
408,12607.90234375
409,7396.609375
410,28996.484375
411,13462.669921875
412,11994.330078125
413,17704.533203125
414,20055.060546875
415,10580.4580078125
416,7095.533203125
417,26693.58984375
418,6780.86767578125
419,19730.66796875
420,3739
421,32847.82421875
422,3966.253662109375
438,4909.06396484375
439,5531.716796875
440,13907.0556640625
441,7494.74755859375
442,11115.3330078125
443,10155.45703125
444,27334.85546875
445,23336.375
446,24658.921875
447,45543.44921875
448,44895.78515625
449,42756.453125
450,37338.76953125
451,8700.1962890625
452,31121.662109375
453,17024.630859375
454,7898.2861328125
455,2486
456,34627.53515625
457,25585.705078125
458,31482.28515625
459,29331.66015625
460,9325.5263671875
461,5855.72900390625
462,242.77053833007812
476,837
477,2014
478,11548.6708984375
479,13876.5166015625
480,7725.4482421875
481,20891.783203125
482,16701.078125
483,14750.4287109375
484,12479.1923828125
485,21158.283203125
486,62476.734375
487,28811.384765625
488,83706.6328125
489,98695.6015625
490,24896.328125
491,26675.158203125
492,15070.7568359375
493,15625.6845703125
494,5646.263671875
495,22186.06640625
496,8294.8916015625
497,25197.556640625
498,31817.806640625
499,3272
500,1881.722412109375
501,92.22945404052734
503,0
504,1421
505,55
514,1562.6048583984375
515,10859.3955078125
516,4177
517,12657.0947265625
518,8509.4521484375
519,7706.25634765625
520,9352.2294921875
521,8127.5322265625
522,18614.490234375
523,8296.552734375
524,9734.2431640625
525,16423.4609375
526,12086.2900390625
527,21514.28515625
528,48206.2109375
529,20323.92578125
530,10584.7353515625
531,23164.53125
532,14347.0283203125
533,36003.81640625
534,18055.4765625
535,71050.59375
536,101579.859375
537,5694.64013671875
538,4942
539,3378.568603515625
