gridid,dist_px_sum
21,0
22,41
30,257
31,304
32,112
42,4678
43,2789
44,984.65118408203125
45,534.8277587890625
46,10
59,574.2540283203125
60,3657.144287109375
61,2394.155517578125
67,16946.822265625
68,14552.7763671875
72,334
73,0
79,136.0889892578125
80,3543.137939453125
81,5694.01025390625
82,858.938232421875
83,1884.26220703125
84,3377.172119140625
85,2631
86,75
98,1949
99,29922.55859375
100,30976.888671875
101,14028.5458984375
104,0
105,8435.4580078125
106,257112.5
107,6439.72900390625
108,60
111,247
112,1518
118,44646.0390625
119,33790.4375
120,47902.6796875
121,17315
122,10300.365234375
123,5692.634765625
124,2053
125,5093.3857421875
126,235.5597381591797
128,29
129,31
133,4343
134,13546.951171875
139,170
140,71342.796875
141,243
143,0
144,4254.46826171875
145,17258.525390625
146,38094.2265625
147,1175
148,0
157,52280.6328125
158,56193.55859375
159,14212.6142578125
160,8974.8935546875
161,14986.5546875
162,195
163,3620.089599609375
164,22365.9375
165,1101.6826171875
167,1349
168,1639
172,2462.24951171875
173,13643.03125
178,19426.849609375
179,8604.7763671875
180,446
181,31
182,11315.6767578125
183,15348.6708984375
184,28322.00390625
185,43780.25390625
187,1087.801025390625
188,2036
196,76659.5625
197,102347.9453125
198,16242.8974609375
199,23175.62890625
200,10545.2119140625
201,405
202,8841.91015625
203,9687.357421875
204,6936.30419921875
205,675.98382568359375
211,675
212,6091.76806640625
214,0
215,3044
216,18799.59375
217,23806.833984375
218,4900.59765625
219,2001.7757568359375
220,8960.724609375
221,113635.375
222,27347.16796875
223,22666.8828125
224,28905.865234375
225,95
226,91.19901275634766
235,44227.296875
236,217334.140625
237,49747.421875
238,13119.513671875
239,11480.7431640625
240,12611.0380859375
241,13341.703125
242,2616.1162109375
243,1028.1898193359375
244,5402.3310546875
245,13720.3671875
246,6444
250,10306.2880859375
251,19342.90625
252,1242.543701171875
253,24986.240234375
254,39459.30078125
255,49898.75
256,32546.203125
257,325.3858337402344
259,14759.388671875
260,120167.21875
261,103402.3203125
262,55934.5078125
263,40390.2265625
264,4708.43408203125
265,3441.818359375
275,102369.5234375
276,22155.033203125
277,38
278,8075.5263671875
279,6954.71826171875
280,30786.63671875
281,10291.0009765625
282,11504.337890625
283,10667.0654296875
284,25374.203125
285,1502.6402587890625
287,4865.21044921875
288,1059.02587890625
289,2349.044189453125
290,6599.76171875
291,48976.34375
292,53649.40625
293,42862.90625
294,149
296,2485.37158203125
297,118512.171875
298,84708.6015625
299,135021.84375
300,93442.9765625
301,34283.94140625
302,84847.3046875
303,68525.6953125
304,24827.66796875
314,112046.2578125
315,91634.65625
316,49756.5078125
317,29723.986328125
318,25295.056640625
319,52665.03515625
320,17169.224609375
321,11492.7236328125
322,8336.0078125
323,23610.19140625
324,10696.9033203125
325,8866.8310546875
326,45947.64453125
327,28353.123046875
328,5791.54150390625
329,2354.20458984375
330,39046.390625
331,52555.58203125
332,5254.9052734375
334,9403.888671875
335,14566.51171875
336,75909.53125
337,208550.546875
338,257390.46875
339,142325.609375
340,86431.96875
341,180127.71875
342,188270.421875
343,103989.703125
344,19152.62109375
353,95333.140625
354,106709.4765625
355,115346.6875
356,28515.974609375
357,18333.830078125
358,48.64992141723633
359,53333.09765625
360,201993.390625
361,14530.1767578125
362,10792.6943359375
363,36212
364,23882.4453125
365,24291.728515625
366,12584.9775390625
367,22827.12890625
368,15667.869140625
369,17845.69921875
370,3339.387451171875
371,3879.11572265625
372,5243.3740234375
373,22269.0390625
374,49652.49609375
375,67520.0390625
376,44035.99609375
377,134054.578125
378,187211.5625
379,65236.07421875
380,34496.5234375
381,47411.203125
382,74904.6171875
383,37785.84375
393,5388.76318359375
398,457
399,127221.1640625
400,37458.5
401,43514.15234375
402,20270.3984375
403,15431.615234375
404,33304.05859375
405,14550.8310546875
406,19313.365234375
407,19896.599609375
408,15694.7060546875
409,8807.265625
410,32512.896484375
411,18064.138671875
412,31285.755859375
413,41661.49609375
414,46267.74609375
415,45054.1015625
416,82255.1328125
417,107577.1796875
418,102666.7421875
419,67205.296875
420,50118.74609375
421,80561.8046875
422,28790.931640625
438,3005.354248046875
439,7565.4140625
440,27092.005859375
441,8007.5302734375
442,17056.4609375
443,16880.61328125
444,24900.57421875
445,22429.453125
446,36074.33984375
447,43318.7421875
448,84674.84375
449,76608.0390625
450,40907.22265625
451,22817.46875
452,48468.4375
453,86474.2890625
454,41449.6953125
455,12887.89453125
456,63358.62890625
457,77659.0546875
458,79139.359375
459,110012.109375
460,37357.26953125
461,99482.0703125
462,35300.34765625
476,1113.1593017578125
477,1087.8406982421875
478,9847.994140625
479,15148.12109375
480,6245.13037109375
481,33734.6875
482,14286.740234375
483,17738.65625
484,18387.662109375
485,2131.07568359375
486,28571.84765625
487,120146.6015625
488,130427.828125
489,114675.4375
490,43169.2578125
491,44767.15234375
492,101718.4453125
493,115726.0625
494,22796.529296875
495,91431.3671875
496,19040.19921875
497,98110.765625
498,113961.75
499,172046.75
500,18448.07421875
501,9913.87890625
503,0
504,34005.7890625
505,424.2093505859375
514,529.363037109375
515,22489.619140625
516,792
517,2842
518,8871.330078125
519,7383.81201171875
520,8176.43115234375
521,6908.115234375
522,22683.037109375
523,18062.140625
524,14869.52734375
525,21181.447265625
526,26327.45703125
527,57645.9140625
528,128629.9296875
529,63535.54296875
530,16394.53515625
531,22791.705078125
532,29342.525390625
533,30905.908203125
534,37391.98046875
535,92114.53125
536,194700.984375
537,36765.78125
538,144669.09375
539,12167.17578125
540,433.22698974609375
541,687.19769287109375
542,297
543,354
544,1540
545,14
552,0
553,8682.734375
554,5015.283203125
555,1904
556,4608
557,5296.7841796875
558,335.6494445800781
559,5040.2861328125
560,8579.419921875
561,8646.271484375
562,24540.962890625
563,26756.904296875
564,37239.4375
565,31586.447265625
566,142334.625
567,72399.9140625
568,34555.57421875
569,35119.08984375
570,51326.9375
571,58112.9921875
572,17270.5546875
573,47233.80078125
574,80907.6875
575,40878.890625
576,5839.37255859375
577,46117.9609375
578,3210.14208984375
579,431.3571472167969
580,1282.8023681640625
581,2632
582,1418
583,0
584,0
594,2338
595,303
596,3769.638916015625
597,1777.5767822265625
598,9456.0458984375
599,61726.18359375
600,56230.4140625
601,29210.796875
602,72762.046875
603,67772.625
604,73222.75
605,35118.4765625
606,24669.447265625
607,24257.0390625
608,38359.37890625
609,70884.1796875
610,23296.39453125
611,12558.544921875
612,39253.51171875
613,11495.58203125
614,3359.976806640625
615,4564.67626953125
616,13427.3232421875
617,15741.857421875
618,983.64288330078125
619,1613
620,883
621,1120
622,546
623,4
630,79
631,3431
632,812.6390380859375
633,1318
634,246.178955078125
635,861.3289794921875
636,1724.585205078125
637,3609.920166015625
638,40636.09765625
639,44037.0390625
640,500068.96875
641,144462.8125
642,73944.5625
643,13517.34375
644,20315.705078125
645,43385.76953125
646,33081.26171875
647,51879.3046875
648,37137.62109375
649,12782.69921875
650,29591.896484375
651,14635.69921875
