gridid,dist_px_sum
21,6
22,71
30,946
31,562
32,132
42,40109.15234375
43,6975.8681640625
44,1010.1320190429688
45,281.04791259765625
46,0
59,688
60,2595.03662109375
61,3714.99560546875
67,4309.61474609375
68,1109.649169921875
72,405
73,8
79,421.4539794921875
80,3069.229248046875
81,6124.8466796875
82,3348
83,1837
84,404.95208740234375
85,658
86,93
98,2928
99,7866.498046875
100,12450.779296875
101,11413.3837890625
104,0
105,11414.9365234375
106,26920.705078125
107,4451.3505859375
108,133
111,55
112,41
118,78176.2890625
119,32066.62890625
120,62843.2578125
121,31842.984375
122,45361.83984375
123,10176.501953125
124,8098.05908203125
125,27986.177734375
126,1603.1549072265625
128,115
129,34
133,18133
134,29102.091796875
139,77.99263000488281
140,48944.9453125
141,43
143,0
144,14242.7021484375
145,11911.32421875
146,17254.0390625
147,6240
148,0
157,69327.1953125
158,30921.19140625
159,25532.439453125
160,32835.20703125
161,36498.40234375
162,1894.05810546875
163,4967.255859375
164,52350.2578125
165,6994.40087890625
167,2499
168,1411
172,53069.48046875
173,32217.38671875
178,34358.8125
179,36256.6796875
180,327
181,62
182,8223.9619140625
183,13585.6904296875
184,21426.837890625
185,4358.6904296875
187,639
188,142
196,111197.296875
197,218326.296875
198,59931.421875
199,31698.05859375
200,48207.7109375
201,2787.507568359375
202,23101.1953125
203,11293.408203125
204,23874.412109375
205,4315.80615234375
211,29910.720703125
212,8816.3212890625
214,0
215,5587.6240234375
216,33236.48828125
217,19042.443359375
218,22388.783203125
219,2867.614013671875
220,3507.05810546875
221,18809.9765625
222,16385.779296875
223,15781.4677734375
224,9100
225,56
226,14
235,13255.0673828125
236,525586.75
237,323475.90625
238,104119.5546875
239,18417.892578125
240,74060.5
241,14560.6787109375
242,6490.9951171875
243,2688
244,121249.640625
245,56076.890625
246,791
250,16645.927734375
251,34117.97265625
252,1196
253,15552.5947265625
254,25248.091796875
255,16571.46875
256,4723
257,17
259,14226.1533203125
260,23979.107421875
261,16282.6953125
262,22131.482421875
263,57823.99609375
264,41015.75390625
265,17752.509765625
275,275859.59375
276,182446.078125
277,105461.65625
278,7517.36669921875
279,36216.234375
280,57101.734375
281,17405.1015625
282,22347.67578125
283,76164.375
284,109231.65625
285,18628.01171875
287,36611.5546875
288,245.7576446533203
289,3732.412841796875
290,25790.35546875
291,25924.0234375
292,64784.5390625
293,21778.48046875
294,148
296,7622.71728515625
297,71675.9453125
298,60112.0546875
299,71734.875
300,10791.6455078125
301,26297.4921875
302,49307.69921875
303,34465.4765625
304,25986.6015625
314,331596.625
315,672703.375
316,615862.625
317,253133.828125
318,63419.58203125
319,55709.23828125
320,39075.2734375
321,20943.705078125
322,33491.99609375
323,41107.0390625
324,47442.44921875
325,21625.66015625
326,78067.296875
327,54752.26171875
328,11034.2626953125
329,10740.447265625
330,22331.6171875
331,41948.2578125
332,4244
334,21448.447265625
335,81624.7421875
336,56067.7890625
337,33212.51953125
338,75608.125
339,23094.728515625
340,16646.6796875
341,62182.89453125
342,76359.40625
343,47898.49609375
344,15423.5263671875
353,128531.59375
354,364907.65625
355,418115.8125
356,45607.51171875
357,12753.8984375
