gridid,dist_px_sum
21,0
22,0
30,1437
31,1663
32,62
42,28959.572265625
43,91003.8046875
44,3677.843994140625
45,71.16963195800781
46,0
59,724.55633544921875
60,6933.29638671875
61,6810.1474609375
67,5251
68,1509
72,932
73,173
79,691
80,6862.236328125
81,23157.388671875
82,866
83,1643.3751220703125
84,5729.681640625
85,3627
86,279
98,644
99,5926
100,14763.75
101,43097.62890625
104,0
105,1456.7144775390625
106,80046.71875
107,7512.28466796875
108,545
111,1223.5113525390625
112,4974.48876953125
118,236695.796875
119,15431.734375
120,60344.27734375
121,32534.45703125
122,21265.78125
123,9283.15625
124,13328
125,9317.09765625
126,0
128,743.9681396484375
129,191.53013610839844
133,19518.3046875
134,1016.4118041992188
139,45
140,34600.8671875
141,336.0469970703125
143,0
144,6512.5908203125
145,9826.8818359375
146,113152.6796875
147,2910.076416015625
148,0
157,115860.1015625
158,66825.390625
159,9588.84765625
160,10947.576171875
161,42837.20703125
162,1452
163,12785.1328125
164,35435.01953125
165,232
167,8692.5048828125
168,2811.996826171875
172,17647.603515625
173,21819.708984375
178,20331.9609375
179,7643.6162109375
180,4
181,0
182,6973.1455078125
183,17353.96875
184,6200
185,175936.25
187,1512
188,1329
196,174887.5625
197,191752.9375
198,40738.80078125
199,16908.3984375
200,21930.798828125
201,4859.01806640625
202,36729.19140625
203,31013.87109375
204,10105.1376953125
205,605.4027099609375
211,1098
212,7819.97265625
214,0
215,6704.7099609375
216,13831.8330078125
217,11800.4013671875
218,4658.6318359375
219,438
220,2027.495849609375
221,10157.2822265625
222,22434.388671875
223,7654.54296875
224,6594.98779296875
225,119
226,25
235,89675.3046875
236,309071.625
237,153381.53125
238,105470.1640625
239,82880
240,27486.373046875
241,64482.9765625
242,13482.6787109375
243,6703.00048828125
244,29682.53125
245,37053.39453125
246,1188
250,17167.427734375
251,19282.72265625
252,1282.414306640625
253,19236.0546875
254,28449.580078125
255,10254.7158203125
256,4126
257,13
259,2752.525146484375
260,20987.3125
261,30366.421875
262,26774.46484375
263,8141.22216796875
264,4951.6298828125
