gridid,dist_px_sum
21,0
22,0
30,2466
31,456
32,79
42,7960.50927734375
43,3553.490966796875
44,2120
45,61
46,60
59,252.2547149658203
60,260.5644836425781
61,4351.30078125
67,2314
68,2932
72,3247
73,40
79,5
80,2942.066162109375
81,7522.3427734375
82,562.65704345703125
83,726
84,2119
85,7178.92626953125
86,151.0739288330078
98,450.7452697753906
99,12703.171875
100,40592.49609375
101,11205.6728515625
104,0
105,4915.55908203125
106,13409.400390625
107,6564.1357421875
108,474
111,1003
112,300
118,40039
119,9527.7099609375
120,30782.017578125
121,10888.90625
122,8263
123,3371
124,3289
125,26002.7578125
126,2929.2431640625
128,1639.1011962890625
129,171.8987579345703
133,8701
134,8917
139,17
140,44699.79296875
141,216
143,0
144,50446.1875
145,38160.61328125
146,15091.7041015625
147,2941.054931640625
148,10
157,41966.32421875
158,13075.4794921875
159,7365.54345703125
160,4369.1279296875
161,14839.6240234375
162,822
163,8572.4404296875
164,14870.736328125
165,884.8077392578125
167,8124
168,5545
172,10681.826171875
173,27895.173828125
178,35962
179,13001.9892578125
180,106
181,14
182,15147.0234375
183,28917.3359375
184,85126.2421875
185,24711.7734375
187,1995.1761474609375
188,974.82391357421875
196,54022.06640625
197,90855.3046875
198,13327.4404296875
199,11091.2685546875
200,13402.9267578125
201,871.6478271484375
202,14710.068359375
203,12815.8349609375
204,7413.83154296875
205,1632.71533203125
211,3063.2802734375
212,21210.1875
214,0
215,4973.7431640625
216,23486.904296875
217,25619.30859375
218,54069.80859375
219,6392.203125
220,887.53399658203125
221,27947.236328125
222,22997.166015625
223,19303.328125
224,14064.5634765625
225,53
226,361
235,16464.43359375
236,231866.8125
237,92441.3984375
238,22034.51953125
239,21028.595703125
240,14808.7353515625
241,18219.94140625
242,2682.311767578125
243,1392.5423583984375
244,18076.12109375
245,15007.98046875
246,1094.7108154296875
250,11194.91796875
251,22447.31640625
252,482
253,14450.0859375
254,36129.0390625
255,26791.431640625
256,11457.271484375
257,4
259,3084.9619140625
260,29456.193359375
261,51791.03125
262,74204.75
