gridid,dist_px_sum
21,0
22,6
30,2104.550048828125
31,972.44989013671875
32,101
42,4695.744140625
43,2584.255615234375
44,1098
45,234
46,0
59,139
60,454.653564453125
61,231.34642028808594
67,2633.5634765625
68,2422.11279296875
72,776.666015625
73,320.99932861328125
79,23.90635871887207
80,1466.710693359375
81,2985.289306640625
82,1715
83,3310
84,1351
85,373
86,9
98,73
99,0
100,1304
101,8162.98974609375
104,0
105,2232.508056640625
106,5659.90625
107,1506.41748046875
108,167
111,143
112,322.33465576171875
118,468815.9375
119,39195.4765625
120,80877.5703125
121,15332.8466796875
122,8141.1533203125
123,4349.666015625
124,2596.333740234375
125,2441.33544921875
126,710
128,58
129,4
133,2799
134,2642.699951171875
139,41
140,26267.890625
141,142
143,0
144,2970.7294921875
145,3270.435302734375
146,4845.7861328125
147,939
148,0
157,93896.125
158,25531.6171875
159,26490.818359375
160,10133.9794921875
161,13675.8486328125
162,185
163,6402.71728515625
164,20717.990234375
165,656.3995361328125
167,1131.6317138671875
168,120.36833953857422
172,493
173,6549.30029296875
178,15105.1904296875
179,5097.71533203125
180,74
181,0
182,7343.279296875
183,15021.84765625
184,19172
185,2896
187,273
188,65
196,166573.3125
197,708833.4375
198,74649.1875
199,26161.93359375
200,8427.5830078125
201,24205.576171875
202,9713.4814453125
203,8197.849609375
204,4315.6572265625
205,590.9927978515625
211,0
212,0
214,0
215,2408.91357421875
216,12597.298828125
217,9754.9765625
218,4540.23779296875
219,835
220,640.70269775390625
221,28107.697265625
222,15745.7880859375
223,8659.8115234375
224,12302.8359375
225,145
226,22
235,63528.21484375
236,367327.53125
237,128935.3515625
238,98195.2734375
239,16967.0234375
240,12609.759765625
241,6571.240234375
242,1042
243,3166
244,7981.14404296875
245,66153.4765625
246,4616.3896484375
250,0
251,0
252,192
253,12.865997314453125
254,1729.0863037109375
255,10736.701171875
256,2375
257,0
259,3486
260,35302.4140625
261,0
262,15414.1220703125
263,18241.419921875
264,3101.8427734375
265,1339
275,160176.46875
276,127792.375
277,67810.7578125
278,15619.51953125
279,9413.0419921875
280,11641.583984375
281,3506.2490234375
282,9065.310546875
283,7496.04296875
284,44444.8046875
285,3493
287,0
288,0
289,0
290,2206.316162109375
291,29995.55859375
292,14759.560546875
293,1002
294,0
296,61
297,10894.6171875
298,52493.89453125
299,26565.51171875
300,8933.353515625
301,18761.955078125
302,47085.4453125
303,20891.98046875
304,7107.17626953125
314,165363.234375
315,294069.6875
316,125795.3203125
317,64457.12109375
318,25593.294921875
319,52070.609375
320,33240.6484375
321,11596.0009765625
322,6805.287109375
323,496
324,66035
325,8949.58984375
326,25644.04296875
327,7367.56640625
328,0
329,5989.654296875
330,30186.01171875
331,23802.595703125
332,431
334,7131
335,17851.40234375
336,29090.90234375
337,23761.32421875
338,15351.7275390625
339,15605.4033203125
340,34170.44921875
341,44219.015625
342,20761.283203125
343,11493.095703125
344,5593
353,181810.71875
354,190382.59375
355,78968.1015625
356,15319.6923828125
357,14437.35546875
358,230
359,96543.765625
360,242977.421875
361,11588.94140625
