gridid,dist_px_sum
21,0
22,10
30,1748
31,2229
32,267
42,20108.3828125
43,4478.70361328125
44,928.60455322265625
45,207
46,0
59,732
60,666
61,929
67,312.12640380859375
68,3862.466552734375
72,7590.8515625
73,0
79,205.81239318847656
80,2508.893310546875
81,6899.52783203125
82,3462.680908203125
83,2293.3955078125
84,2292.43798828125
85,281
86,4
98,835
99,6
100,8767.716796875
101,12553.03125
104,0
105,7007.51806640625
106,25307.109375
107,8816.5048828125
108,240
111,753.1483154296875
112,964
118,82406.078125
119,24621.1953125
120,68942.1953125
121,39809.703125
122,16300
123,6612.56201171875
124,1846
125,13627.9013671875
126,2237.098876953125
128,124.94981384277344
129,74.05018615722656
133,9643
134,10670
139,42
140,66193.140625
141,83.38066864013672
143,0
144,56396.44140625
145,17798.6484375
146,18625.642578125
147,6096.0302734375
148,39.822078704833984
157,50311.1328125
158,26942.552734375
159,17448.587890625
160,17652.240234375
161,18798.70703125
162,820
163,5191.50927734375
164,64682.421875
165,13877.4169921875
167,2291.861328125
168,2096.138671875
172,1558
173,6027
178,36850.1484375
179,30398.578125
180,950
181,84
182,10713.3720703125
183,41819.23046875
184,11545.8896484375
185,13942.505859375
187,3465.03466796875
188,1333
196,3778.691650390625
197,48055.7109375
198,11875.8505859375
199,24019.54296875
200,22238.0390625
201,3653.548095703125
202,80316.5078125
203,28611.056640625
204,11179.830078125
205,2167.312255859375
211,0
212,0
214,0
215,11454.2646484375
216,45000.47265625
217,31569.482421875
218,14007.55078125
219,5185.0107421875
220,1999.6072998046875
221,24664.82421875
222,13186.8056640625
223,17337.955078125
224,31242.1875
225,495.35943603515625
226,208.96527099609375
235,1455.6864013671875
236,383767.9375
237,169074.828125
238,28376.44140625
239,14259.4794921875
240,45769.9921875
241,34789.140625
242,6900.04052734375
243,1158
244,5460.1767578125
245,30066.841796875
246,1390.8895263671875
250,0
251,0
252,579.9697265625
253,17
254,12617.0654296875
255,26399.8203125
256,12616.8115234375
257,19.52876853942871
259,15637.8583984375
260,26318.35546875
261,0
262,44233.60546875
263,62086.23828125
264,44557.45703125
265,30984.486328125
275,336309.875
276,146094
277,133135.8125
278,6282.7392578125
279,13057.310546875
280,28392.802734375
281,10660.572265625
282,5325.9609375
283,10582.16015625
284,20974.349609375
285,3374.053466796875
287,0
288,0
289,0
290,71.78646087646484
291,33055.32421875
292,28080.712890625
293,4970.326171875
294,0
296,9000.7841796875
297,39248.83203125
298,51236.09765625
299,87225.8984375
300,63066.32421875
301,50747.7421875
302,46355.16796875
303,50834.03515625
304,25183.7890625
314,577587.0625
315,644778.875
316,381416.4375
317,32162.3671875
318,62894.53125
319,158260.6875
320,41840.234375
321,11162.9345703125
322,8376.1611328125
323,1770.47705078125
324,6835.68603515625
325,29195.68359375
326,39060.24609375
327,28873.947265625
328,0
329,2226.71240234375
330,28184.9453125
331,46686.25
332,3687.2021484375
334,13395.255859375
335,35772.1796875
336,87792.1875
337,115600.4140625
338,199599.828125
339,54646.88671875
340,51371.31640625
341,61088.9453125
342,87375
343,27358.80078125
344,13476.3310546875
353,378354.75
354,468470.75
355,150125.75
356,55006.46875
357,43287.453125
358,258.7284851074219
359,92690.9609375
360,320093.125
361,19355.935546875
362,17006.41796875
363,24009.25390625
364,57798.8671875
365,14552.546875
366,66222.546875
367,0
368,24140.91015625
369,13912.2099609375
370,2670.422607421875
371,6657.71044921875
372,3719.944091796875
373,23001.79296875
374,53678.15625
375,132005.546875
376,71600.65625
377,164334.109375
378,106741.1640625
379,31417.138671875
380,45291.796875
381,72416.96875
382,33037.01171875
383,23656.373046875
393,21064.87109375
398,1038.9361572265625
399,149406.4375
400,35851.44140625
401,58840.296875
402,24514.6640625
403,24106.447265625
404,23012.421875
405,39772.39453125
406,50644.02734375
407,21278.138671875
408,16035.54296875
409,10739.2998046875
410,14115.7978515625
411,29831.51953125
412,865.40985107421875
413,52617.390625
414,45176.08984375
415,0
416,35083.72265625
417,20761.830078125
418,52156.22265625
419,31144.556640625
420,13731.849609375
421,21418.54296875
422,8967.443359375
438,6359.27587890625
439,12218.9375
440,27838.185546875
441,6778.01806640625
442,5544.69091796875
443,36201.19140625
444,27790.38671875
445,34658.2109375
446,37447.98046875
447,46733.3203125
448,54056.890625
449,54777.1796875
450,50445.0234375
451,22440.88671875
452,68373.4921875
453,34496.6875
454,17038.435546875
455,15930.615234375
456,41922.1796875
457,58057.50390625
458,104330.546875
459,83007.1640625
460,39737.0625
461,46974.82421875
462,85775.578125
476,2003.605224609375
477,6715.39453125
478,25802.681640625
479,46012.4765625
480,11248.904296875
481,6069.7470703125
482,17845.97265625
483,29286.119140625
484,17959.73046875
485,55964.90234375
486,92513.5859375
487,46369.9609375
488,90190.8984375
489,110087.265625
490,45470.96484375
491,65488.98828125
492,14663.810546875
493,67750.0234375
494,16070.056640625
495,37952.80078125
496,25033.779296875
497,33014.03515625
498,70258.578125
499,23083.443359375
500,15935.1904296875
501,5038.7470703125
503,0
504,26716.455078125
505,92
514,2501
515,21346.572265625
516,4897.873046875
517,20662
518,24379.060546875
519,28598.78515625
520,10543.6396484375
521,17045.650390625
522,44586.60546875
523,70894.046875
524,67189.9765625
525,120267.015625
526,75534.4375
527,58225.6875
528,86118.3828125
529,28134.896484375
530,0
531,0
532,4350.51416015625
533,52470.8984375
534,33277.80078125
535,154799.015625
536,56663.4765625
537,7472.62060546875
538,6531.548828125
539,8644.451171875
540,150
541,37
542,11
543,368.5450744628906
544,1119
545,4
552,58.75080871582031
553,9685.2490234375
554,9767.5546875
555,0
556,6798.5390625
557,12204.34765625
558,781
559,4426.78759765625
560,57540.80078125
561,111053.359375
562,113555.046875
563,150959.96875
564,113151.09375
565,55213.75
566,73641.2421875
567,69032.171875
568,31849.40234375
569,34932.796875
570,42087.8671875
571,35474.7109375
572,18934.69921875
573,19185.23828125
574,77359.546875
575,42932.1171875
576,9021.498046875
577,7283.25341796875
578,8099.76708984375
579,205
580,72
581,373
582,1398
583,0
584,0
594,0
595,975.478271484375
596,10678.263671875
597,3661.06591796875
598,14748.1845703125
599,185757.765625
600,303836.96875
601,213608.25
602,222229.359375
603,75770.078125
604,105352.859375
605,123440.640625
606,73687.4375
607,112144.25
608,30939.04296875
609,91201.7734375
610,36270.8046875
611,29.098684310913086
612,19373.078125
613,31471.984375
614,5291.732421875
615,12748.318359375
616,6647.2021484375
617,6100.8173828125
618,773
619,24
620,248
621,239
622,85
623,0
630,0
631,1339.410888671875
632,2596.4775390625
633,3850.590087890625
634,1011.5812377929688
635,1435.65771484375
636,3059.744873046875
637,9546.4853515625
638,21619.357421875
639,64211.86328125
640,196789.34375
641,175280.90625
642,24922.98828125
643,24851.140625
644,46721.24609375
645,100819.671875
646,47143.921875
647,26937.625
648,0
649,0
650,2483.794921875
651,6176.873046875
652,15653.1015625
653,8316.646484375
654,2843
655,1736.28173828125
656,2267
657,1239
658,493.1172790527344
659,780.88275146484375
660,248
661,1380
662,582.5928955078125
670,3664.094482421875
671,10385.10546875
672,7364.40966796875
673,11786.4189453125
674,5372.15234375
675,0
676,5999.7626953125
677,23293.076171875
678,25807.16015625
679,17422.314453125
680,109352.046875
681,20823.3828125
682,27354.0390625
683,64161.30859375
684,74779.3203125
685,50057.3984375
686,26211.228515625
687,0
688,0
689,2743.687255859375
690,12859.6328125
691,23577.998046875
692,40197.171875
693,18542.373046875
694,11940.3076171875
695,2393.65087890625
696,5967.51318359375
697,547
698,2258
699,618
700,1318.3043212890625
701,17723.40625
702,2267
706,1282
707,128
709,2105
710,21361.912109375
711,2791
712,1114
713,3407
714,302
716,27977.13671875
717,7634.03564453125
718,30415.013671875
719,115486.3671875
720,39740.3828125
721,31189.412109375
722,30332.341796875
723,95214.296875
724,109562.9296875
725,17514.5234375
726,9748.791015625
727,0
728,3901.175048828125
729,25565.12109375
730,48414.296875
731,19588.388671875
732,47014.19921875
733,31998.447265625
734,16965.7578125
735,2015.6654052734375
736,3361.121337890625
737,21639.212890625
738,12456.8544921875
739,4929.69580078125
740,9303
741,1162
745,318
746,9753.1875
747,13291.212890625
748,2446.26318359375
749,3242.042236328125
750,5961.9580078125
751,2566.632568359375
752,222
755,1647
756,7325
757,21865.95703125
758,31339.240234375
759,30615.310546875
760,18588.615234375
761,20712.359375
762,66112.7265625
763,34180.9296875
764,75689.796875
765,48870.83203125
766,5
767,2222.619873046875
768,679
769,39627.47265625
770,23319.2578125
771,46735.69140625
772,35206.59765625
773,22919.56640625
774,9452.6328125
775,6773.9951171875
776,7670.0048828125
777,16230.171875
778,3627.973876953125
779,1867
780,25
784,808
785,12145.8125
786,9897.0419921875
787,2077.482666015625
788,24
789,2874.64404296875
790,8139.24951171875
791,393.87213134765625
796,160.0493621826172
797,6247.34375
798,5330.06884765625
799,8331.654296875
800,789
801,7852.29931640625
802,26092.349609375
803,14639.8037109375
804,63268.265625
805,9891.421875
806,7553.7548828125
807,4942.04638671875
808,25947.734375
809,30384.88671875
810,88030.0703125
811,18030.5078125
812,5775.16015625
813,21998.32421875
814,3021.993896484375
823,0
824,6115.9091796875
825,22649.091796875
826,7412
827,2830
828,2886
829,2395.601806640625
835,4212.16943359375
836,16376.9111328125
837,5735.22265625
838,5011.27685546875
839,2883.957275390625
841,0
842,0
843,6751.3046875
844,25123.96875
845,47627.60546875
846,24500.42578125
847,10739.0234375
848,26992.470703125
849,36090.62109375
850,23797.328125
851,16013
863,6
864,13248
865,10873
866,3441
867,2831.888671875
868,726
874,4710.0888671875
875,9104.8349609375
876,1298.168701171875
877,61261.90234375
878,467.2508544921875
879,0
882,20581.39453125
883,34166.98828125
884,27841.294921875
885,32864.50390625
886,14707.1328125
887,54561.05859375
888,58832.56640625
889,4854.02197265625
904,101
905,3201
906,28411.654296875
907,1513.4573974609375
913,228
914,0
915,0
916,0
917,0
918,0
919,3076.241943359375
920,786.960693359375
921,26743.525390625
922,26851.2421875
923,53894.84765625
924,74032.8359375
925,17885.42578125
926,34992.87890625
927,79369.25
928,142.64820861816406
943,0
944,14
945,5607.2275390625
946,3908.7724609375
951,1179.4288330078125
952,27265.560546875
953,4432.5478515625
954,12163.935546875
955,164497.859375
956,87665.46875
957,35916.8359375
958,2409.60205078125
959,3534.1953125
960,0
961,1948.3829345703125
962,54762.98828125
963,82708.6328125
964,48376.33203125
982,221
983,0
984,1548
985,1245
990,6935.5712890625
991,19423.197265625
992,15643.7939453125
993,35261.94140625
994,65119.09375
995,203954.875
996,84910.015625
997,16233.5849609375
999,2472
1000,36828.36328125
1001,53805.625
1002,66071.140625
1003,5758.1650390625
1024,4
1025,0
1029,9878.02734375
1030,1059.8587646484375
1031,17.742971420288086
1032,0
1033,0
1034,0
1035,1925.4776611328125
1036,61676.13671875
1037,2342.670654296875
1038,6.702232837677002
1039,21398.9765625
1040,37570.61328125
1041,63188.859375
1042,0
1064,9797
1068,7201.015625
1069,2556
1070,20120.80078125
1071,81450.7109375
1072,64004.09765625
1073,66406.2109375
1074,60384.0625
1075,7487.76904296875
1076,25607.330078125
1077,1441.6767578125
1078,50615.046875
1079,13234.0791015625
1080,4127.55859375
1081,158
1107,2064.6728515625
1108,1061.760498046875
1109,30684.01171875
1110,12908.5224609375
1111,35818.6796875
1112,106754.359375
1113,77273.015625
1115,1302.98291015625
1116,79153.140625
1117,131091
1118,107425.59375
1119,45826.953125
1146,1597.389892578125
1147,8776.375
1148,7309.58203125
1149,3845.5361328125
1150,73579.3515625
1151,158077.296875
1152,128196.515625
1153,1069.8590087890625
1154,12510.76171875
1155,54090.06640625
1156,127672.984375
1157,108470.6171875
1158,139877.625
1159,24042.955078125
1186,641
1187,43560.23046875
1188,39749.3515625
1189,59741.4765625
1190,302347.15625
1191,129768.2421875
1192,45093.83203125
1193,14523.517578125
1194,60222.26953125
1195,100238.25
1196,119353.40625
1197,184607.109375
1198,82635.8359375
1226,458.4047546386719
1227,16439.91015625
1228,9506.40234375
1229,160116.4375
1230,90719.6015625
1231,82320.6171875
1232,20347.96875
1233,39204.75390625
1234,112534.96875
1235,167024.5
1236,220971.0625
1237,97488.0078125
1266,494
1267,3319
1268,0
1269,38533.16015625
1270,74038.0234375
1271,15474.5068359375
1272,23264.013671875
1273,206587.859375
1274,304095.25
1275,160369.0625
1306,7028
1307,81
1308,119489.734375
1309,301261.78125
1310,69640.671875
1311,10842.64453125
1312,101418.9296875
1313,261339.296875
1314,36339.765625
1345,256
1346,0
1347,36172.40234375
1348,40728.6328125
1349,62355.37890625
1350,19745.404296875
1351,47661.7421875
1352,227737.609375
1353,0
1384,0
1385,4
1386,2312.380859375
1387,19270.361328125
1388,44787.1484375
1389,99228.296875
1390,48386.8515625
1391,15860.41015625
1423,0
1424,136
1425,1269
1426,6571.15380859375
1427,43437.4140625
1428,134297.671875
1429,107516.8828125
1430,8046.009765625
1463,150
1464,1162
1465,2678.43359375
1466,13906.53515625
1467,39343.09765625
1468,4719.47216796875
1504,1022
1505,13590.646484375
1506,22899.591796875
1507,29587.208984375
1543,0
1544,54.25762176513672
1545,305.74237060546875
1546,4
