gridid,dist_px_sum
21,0
22,24
30,222
31,1203
32,35
42,146552.734375
43,30322.115234375
44,4063.990966796875
45,2844.99072265625
46,0
59,1011.7606201171875
60,2255.50927734375
61,2145.730224609375
67,15054.1064453125
68,6221.98779296875
72,471
73,294
79,25
80,4565.232421875
81,6812.390625
82,6716.60205078125
83,6442.43017578125
84,7976.537109375
85,17341.625
86,1149.5166015625
98,1082
99,6659
100,19220.47265625
101,16304.1416015625
104,0
105,5827.06884765625
106,23519.171875
107,15745.4130859375
108,838
111,56
112,40
118,145003.4375
119,73998.6640625
120,49908.640625
121,75566.765625
122,32509.154296875
123,33527.75
124,16255
125,16179.2646484375
126,526.7352294921875
128,5654.345703125
129,29
133,2947
134,3042.02197265625
139,219
140,37001.75390625
141,550.2203369140625
143,0
144,17322.33203125
145,12348.1025390625
146,7676.9580078125
147,2423
148,0
157,73660.234375
158,49697.83203125
159,34140.109375
160,21443.65625
161,22684.65625
162,2084
163,13528.2958984375
164,312163.125
165,16445.55078125
167,11974.654296875
168,1178
172,2180.806884765625
173,17535.81640625
178,24540.134765625
179,20649.048828125
180,185
181,44
182,10453.6162109375
183,28142.095703125
184,9713.265625
185,3865.35009765625
187,168
188,124
196,99672.203125
197,147710.109375
198,23682.2109375
199,16010.9169921875
200,19659.4453125
201,2499.464599609375
202,13918.1015625
203,50648.234375
204,54799.625
205,382.5384826660156
211,2265.5595703125
212,13528.35546875
214,0
215,8906.302734375
216,21477.421875
217,13561.7685546875
218,20245.580078125
219,1028.0599365234375
220,3649.26416015625
221,26322.71484375
222,24890.150390625
223,17863.451171875
224,13241.6103515625
225,152
226,34
235,35633.4921875
236,273668.84375
237,53499.58984375
238,16531.078125
239,11550.537109375
240,16469.328125
241,34780.296875
242,2132.388671875
243,4726.9814453125
244,27531.640625
245,65539.109375
246,1865.232177734375
250,10947.08984375
251,14758.1171875
252,3608.67236328125
253,24539.388671875
254,43492.2265625
255,31122.591796875
256,4924.85107421875
257,5
259,10126.0068359375
260,85552.6796875
261,48900.83984375
262,32542.291015625
263,15096.8525390625
264,8661.9560546875
265,50992.26171875
275,205831.6875
276,109537.515625
277,33180.35546875
278,6407
279,15574.462890625
280,102198.125
281,6331.1337890625
282,5386.296875
283,22651.0546875
284,135424.734375
285,8494.7275390625
287,3366.747314453125
288,817
289,1982.8507080078125
290,8110.3828125
291,67934.6953125
292,86929.0703125
293,25753.12890625
294,260.0084228515625
296,932
297,78578.2578125
298,119646.3203125
299,120559.4609375
300,42852.01953125
301,33667
302,56090.625
303,49301.3515625
304,44399.921875
314,148932.578125
315,340344.4375
316,206900.71875
317,54943.50390625
318,52782.98828125
319,54667.7421875
320,17576.05859375
321,6977.17529296875
322,7909.6328125
323,15448.5693359375
324,19727.943359375
325,17197.052734375
326,68441.828125
327,20011.818359375
328,4762.99560546875
329,6403.01416015625
330,39225.39453125
331,42532.83203125
332,2452.8193359375
334,9514.80859375
335,34312.56640625
336,104356.234375
337,258575.90625
338,138245.609375
339,59082.3125
340,74523
341,97832.0078125
342,67108.6796875
343,144389.46875
344,46679.3515625
353,70450.0078125
354,166021.578125
355,149094.640625
356,42789.36328125
357,15202.298828125
358,202
359,49712.19140625
360,172787.359375
361,17279.306640625
362,22664.818359375
363,50246.0546875
364,34796.9296875
365,26087.103515625
366,22636.435546875
367,55183.125
368,41270.87109375
369,13933.8486328125
370,2580.8818359375
371,13554.859375
372,59966.078125
373,38597.68359375
374,57077.85546875
375,141840.515625
376,98031.0234375
377,50449.3125
378,71022.625
379,51035.9375
380,35083.609375
381,55454.5625
382,48854.4609375
383,32046.599609375
393,3127.594970703125
398,505.01788330078125
399,46492.84375
400,36983.6640625
401,61170.0703125
402,35317.76171875
403,18968.802734375
404,24549.021484375
405,19839.291015625
406,41797.87109375
407,32034.923828125
408,15738.154296875
409,9486.2734375
410,52491.41015625
411,94504.5234375
412,63262.5703125
413,46247.85546875
414,59638.60546875
415,29341.9921875
416,19756.951171875
417,34432.73828125
418,56664.94921875
419,42905.63671875
420,46009.7265625
421,45915.86328125
422,9375.9326171875
438,3120.634033203125
439,8705.1103515625
440,31697.66015625
441,24492.94140625
442,15506.2607421875
443,11287.6953125
444,28614.640625
445,12801.9345703125
446,16023.740234375
447,20035.77734375
448,23787.095703125
449,60876.12109375
450,44471.12109375
451,25414.1015625
452,59495.7265625
453,53215.69140625
454,21084.060546875
455,8275.583984375
456,53242.49609375
457,147772.703125
