gridid,dist_px_sum
21,13
22,0
30,1012
31,423
32,35
42,7729.07861328125
43,11133.4111328125
44,6584.40576171875
45,1118.867431640625
46,8
59,1215
60,2466
61,2066.3134765625
67,2434
68,369
72,374
73,52.78957748413086
79,53
80,4582.91552734375
81,10050.923828125
82,2715.67138671875
83,4284.72705078125
84,2560
85,983
86,175
98,711
99,15248.712890625
100,11453.9736328125
101,8048.638671875
104,0
105,1870.1796875
106,23622
107,729
108,17
111,353
112,609.21044921875
118,87622.875
119,25276.408203125
120,72098.8203125
121,30103.404296875
122,18668.177734375
123,14591.9443359375
124,2097.85693359375
125,52081.69140625
126,3207.310302734375
128,101.51228332519531
129,18.487716674804688
133,10364
134,26143.158203125
139,13
140,20705.416015625
141,0
143,0
144,1984.2503662109375
145,10642.6083984375
146,2372.839599609375
147,3100.55224609375
148,0
157,47891.1015625
158,31729.890625
159,35606.3046875
160,20342.841796875
161,30813.1953125
162,3877
163,9505.1552734375
164,27169.13671875
165,1081
167,1917
168,2773
172,11446.3505859375
173,30657.9921875
178,21797.693359375
179,6698.85595703125
180,10
181,0
182,6011.69921875
183,11277.6328125
184,6129.33544921875
185,7757
187,1550
188,121
196,120292.0625
197,232292.078125
198,32586.23828125
199,42600.9765625
200,17828.259765625
201,3442
202,33995.34375
203,10256.9921875
204,13808
205,3469.034912109375
211,4758.81494140625
212,42243.68359375
214,0
215,2456.637939453125
216,17315.10546875
217,11094.291015625
218,2661
219,621
220,614
221,20027.04296875
222,20279.728515625
223,4854.36279296875
224,6407
225,37
226,22
235,55533.90625
236,364584.1875
237,146588.984375
238,14799.3564453125
239,14475.17578125
240,14670.1923828125
241,7156.89208984375
242,1792.287353515625
243,1684.3140869140625
244,21737.087890625
245,21474.671875
246,1478.6295166015625
250,15089.0654296875
251,56130.20703125
252,363
253,14185.01171875
254,48588.03125
255,28388.859375
256,2994
257,13
259,3572.213134765625
260,39454.37109375
261,59543.55078125
262,27916.462890625
263,31209.494140625
264,2630.52294921875
265,4010.011962890625
275,210224.34375
276,120985.796875
277,94530.3828125
278,9078.6650390625
279,13625.5029296875
280,38865.23828125
281,6825.48486328125
282,49540.97265625
283,89002.9296875
284,65479.69140625
285,2276.324462890625
287,77843.9375
288,1996.1500244140625
289,3151.066162109375
290,40393.6875
291,24524.9140625
292,49774.5859375
293,28769.375
294,204
296,7016.3212890625
297,10084.48046875
298,10030.9140625
299,25048.57421875
300,21631.734375
301,28902.837890625
302,51482.3359375
303,16437.359375
304,10339.0009765625
314,197353.703125
315,297103.46875
316,351747
317,70770.890625
318,64349.2734375
319,57047.45703125
320,33943.25390625
321,11832.6357421875
322,9084.9755859375
323,22031.0703125
324,20277.875
325,33517.3515625
326,131977.21875
327,137417.09375
328,33146.60546875
329,3089.358642578125
330,35503.5703125
331,23693.59375
332,645
334,6867.361328125
335,10533.48046875
336,26145.044921875
337,41907.4609375
338,25536.1171875
339,20157.96875
340,18441.0390625
341,26870.908203125
342,14304.6162109375
343,16782.76953125
344,4203.73583984375
353,140689.28125
354,119948.796875
355,109083.3828125
356,11980.3955078125
357,8462.1142578125
358,111
359,60734.796875
360,277062.0625
361,14308.9677734375
362,11274.171875
363,53594.828125
364,59900.05859375
365,15745.1845703125
366,46500.82421875
367,40691.453125
368,21148.16796875
