gridid,forest_px_sum
651,3701559.75
652,2597721.5
653,1471547
654,1344055.375
655,1072765.75
656,1156065.375
657,1482215.125
658,756450.375
659,430798.28125
660,175367.625
661,218458.40625
662,109636.234375
670,240481.125
671,944619.9375
672,969687.6875
673,1755729.125
674,584015.4375
675,976.5159912109375
676,327565.84375
677,2040782.75
678,2474501.25
679,2023070.375
680,3618946.5
681,3283057.5
682,3399753
683,5159649.5
684,6417471
685,3163240
686,3046596.25
687,3381579
688,4222437
689,2535905
690,3185667.25
691,3291128.25
692,4042637.25
693,3978202.5
694,2773394
695,1803104.625
696,1640586.5
697,667500
698,713988.75
699,451316.125
700,496557.53125
701,875104.625
702,101958.0390625
706,192598.234375
707,40627.39453125
709,379881.25
710,2056597.25
711,1125902.75
712,380445.09375
713,613448.875
714,152226.953125
716,724552.125
717,1919735.5
718,1981931.125
719,3552268.25
720,3953030.5
721,3541350
722,4367033.5
723,5844377
724,3308766.5
725,2116394.5
726,2306825
727,3547679.25
728,2877696.75
729,4019512.75
730,4867719.5
731,5951973
732,7257912.5
733,6091615
734,2887965
735,1582206.5
736,1829633.25
737,1953122.875
738,1975640.125
739,1629559.625
740,1114874.375
741,83977.546875
745,1063161.25
746,1159078.75
747,847058.3125
748,139077.390625
749,1560062.5
750,1041756.875
751,617386.625
752,79200.921875
755,34484.9609375
756,103785.3671875
757,542241.9375
758,1888510.5
759,2228024.25
760,2723704.75
761,2769587.25
762,4960963
763,5258711
764,3893123
765,3975844
766,4003309.5
767,3623162.25
768,4678228.5
769,5690275
770,5196098
771,6421902
772,5086106
773,3514416.5
774,2970386.25
775,1564633.5
776,796062.3125
777,377641.875
778,216918.59375
779,154396.75
780,1815.4312744140625
784,70450.515625
785,1187787
786,1065954.125
787,227949.09375
788,34639.7578125
789,730386.375
790,805910.5
791,66304.21875
796,24594.953125
797,888198.4375
798,395457.75
799,712143.4375
800,218581.5625
801,666784.125
802,4840276
803,2428575.25
804,3672374.25
805,3807200.25
806,4212204.5
807,4787875.5
808,4014543.75
809,3985872.25
810,5916291.5
811,4271582
812,1058379.875
813,2312171.5
814,253240.140625
823,57015.296875
824,671001.6875
825,1403951.25
826,478317.96875
827,722185.0625
828,1168600.375
829,535901.5
835,333132.125
836,1273661.375
837,656535.5625
838,672911.4375
839,898561.8125
841,30161.46875
842,46375.09765625
843,1094382.25
844,3419784
845,3261539
846,5334707
847,4832663.5
848,5456857.5
849,5681312
850,4377664
851,2192816.25
863,2514.871826171875
864,433240
865,405875.28125
866,1311902.125
867,1270356.25
868,169822.453125
874,406759.53125
875,1891373.625
876,405324.375
877,2890976.25
878,7322520
879,3760888.25
882,1148065.125
883,4187185
884,3307864.25
885,4809547.5
886,4783633.5
887,6302848.5
888,5102116
889,745217
904,25348.1171875
905,1335608.25
906,931358.0625
907,312801.53125
913,136833.859375
914,650734.75
915,364462.09375
916,7201448.5
917,8682630
918,7836867.5
919,826542.125
920,201862.140625
921,2173193
922,5685224
923,4237641
924,6138029.5
925,5688418.5
926,4721931.5
927,4064788.75
928,9578.4248046875
943,3009.658447265625
944,353870.375
