gridid,dist_px_sum
21,0
22,54
30,292.5427551269531
31,604.45721435546875
32,4
42,90495.4296875
43,20693.552734375
44,8028.88525390625
45,3294.899169921875
46,0
59,384
60,906
61,853.98175048828125
67,9088
68,3068.946533203125
72,343
73,0
79,86
80,6151.923828125
81,25152.205078125
82,6926.17333984375
83,26941.08984375
84,13830.1259765625
85,1648
86,95
98,370
99,8022
100,9036.0185546875
101,11519.994140625
104,0
105,1912
106,14003.6748046875
107,6869.37890625
108,12
111,115
112,218
118,195740.609375
119,22286.03515625
120,147697.890625
121,17947.072265625
122,139926.78125
123,117891.6640625
124,7200.57958984375
125,22031.27734375
126,5655.72314453125
128,6451.9873046875
129,88.34779357910156
133,19446.974609375
134,15215.734375
139,16
140,36584.41015625
141,90.50505828857422
143,0
144,14187.162109375
145,4741.83740234375
146,1655.690185546875
147,1840
148,0
157,85636.6015625
158,32959.19921875
159,13688.7958984375
160,42245.6953125
161,193398.421875
162,1840.94287109375
163,19605.388671875
164,16904.38671875
165,2412.20703125
167,25732.58984375
168,11198.07421875
172,5352.02490234375
173,38117.625
178,43050.34765625
179,14633.978515625
180,68
181,0
182,13535.4658203125
183,27987.205078125
184,8499.7705078125
185,87
187,1506
188,145
196,150422.40625
197,127155.484375
198,19917.34765625
199,25861.650390625
200,22411.70703125
201,8076.05224609375
202,65426.37890625
203,35637.22265625
204,37419.62890625
205,2406.820556640625
211,1894.81640625
212,16682.5390625
214,0
215,6616.80029296875
216,22440.357421875
217,29492.82421875
218,10178.4736328125
219,2174
220,1547
221,18182.7578125
222,28110.578125
223,13672.57421875
224,7388.78271484375
225,104
226,65
235,61505.20703125
236,489198.125
237,72347.0546875
238,30386.29296875
239,16114.5703125
240,32314.498046875
241,119265.6171875
242,6739.2412109375
243,2259.063720703125
244,90247.4921875
245,104352.65625
246,4510.02734375
250,20516.109375
251,25794.830078125
252,702.0810546875
253,14842.8095703125
254,32160.951171875
255,32118.970703125
256,8528.09765625
257,6
259,1607.04443359375
260,18652.125
261,44405.44140625
262,34421.9921875
263,25800.353515625
264,6853.33056640625
265,3539.277099609375
275,280640
276,94899.9765625
277,48433.80859375
278,14616.8876953125
279,19642.162109375
280,92489.0703125
281,10797.5361328125
282,13685.9208984375
283,92345.296875
284,33499.17578125
285,2841.0517578125
287,6475.0703125
288,5381.1259765625
289,9987.75
290,22666.59375
291,39410.8671875
292,64374.03125
293,27626.609375
294,273.5495910644531
296,2220.920654296875
297,11425.494140625
298,11685.484375
299,20574.900390625
300,41756.0703125
301,31332.056640625
302,54061.4921875
303,22664
304,6219.72314453125
314,232853.140625
315,235444.734375
316,186231.546875
317,70566.890625
318,100739.3046875
319,76179.3828125
320,37233.01171875
321,7973.08447265625
322,6764
323,13189.4052734375
324,47953.1171875
325,13892.2060546875
326,46124.3515625
327,18751.65234375
328,4483.31640625
329,3869.462890625
330,38911.94140625
331,46876.984375
332,4178.5771484375
334,3866
335,11586.986328125
336,13858.6142578125
337,16068.359375
338,28716.208984375
339,28187.828125
340,14624.6708984375
341,41084.296875
342,21877.919921875
343,9851.6708984375
344,4277
353,98478.8515625
354,164026.453125
355,115213.296875
356,68456.875
357,23538.806640625
358,272.013916015625
359,113523.96875
360,446132.4375
361,14667.5673828125
362,12093.6767578125
363,52656.609375
364,46987.15234375
365,17052.431640625
366,54079.25390625
367,31446.974609375
368,17643.33203125
369,13814.4697265625
370,1456
371,1814
372,7603.7314453125
373,4130.380859375
374,13714.583984375
375,17773.556640625
376,8090.24755859375
377,29219.2734375
378,27328.154296875
379,10523.9345703125
380,5059.15673828125
381,11449.53125
382,14009.27734375
383,7433.4501953125
393,13935.9990234375
398,751.60833740234375
399,304158.40625
400,66142.8828125
401,54415.52734375
402,23502.521484375
403,23594.716796875
404,10709.798828125
405,13321.65625
406,17755.87109375
407,8368
408,13233.318359375
409,2515.46533203125
410,5210.50439453125
411,17233.28125
412,19748.62109375
413,14339.345703125
414,10317.953125
415,9384.62109375
416,7554.2490234375
417,113678.1875
418,6268.3896484375
419,9111.3330078125
420,3262.924560546875
421,10269.689453125
422,1678.5146484375
438,8440.8037109375
439,13972.0986328125
440,32015.142578125
441,9637.9970703125
442,11237.3359375
443,14053.9931640625
444,20208.744140625
445,42294.859375
446,43086.60546875
447,41143.859375
448,49145.48828125
449,47323.74609375
450,26545.693359375
451,8418.8876953125
452,24965.85546875
453,18392.1640625
454,13670.759765625
455,4343.251953125
456,13108.7294921875
457,43436.5078125
458,26063.58984375
459,24905.57421875
460,6937.6728515625
461,9166.9345703125
462,12487.5322265625
476,2098.700439453125
477,1856.5572509765625
478,12739
479,32524.228515625
480,15255.0458984375
481,24126.365234375
482,18787.494140625
483,14827.6611328125
484,21682.96484375
485,28788.861328125
486,46289.015625
487,49869.515625
488,74465.0859375
489,76153.5
490,31839.181640625
491,32826.625
492,19894.6484375
493,20971.9609375
494,7491.25
495,18934.083984375
496,3328.534912109375
497,19659.30078125
498,51616.86328125
499,1944.9249267578125
500,2110.6181640625
501,4914.46533203125
503,0
504,10065
505,15
514,1203.6640625
515,22343.98828125
516,2457.3828125
517,9416.359375
518,11649.140625
519,12968.4013671875
520,10535.2900390625
521,20840.853515625
522,20792.9453125
523,20295.697265625
524,16050.6220703125
525,20981.587890625
526,18024.611328125
527,24793.1796875
528,33795.94921875
529,32450.431640625
530,12587.931640625
531,20366.6796875
532,36499.25
533,26869.07421875
534,8597.064453125
535,29582.853515625
536,87941.671875
537,9964.1630859375
538,1880.4735107421875
539,242
540,435
541,361
542,0
543,81
544,452
545,0
552,22
553,4992.1875
554,920.1597900390625
555,1656
556,6112.564453125
557,4135.2177734375
558,9262.9873046875
559,17506.419921875
560,16740.365234375
561,15531.392578125
562,20237.05859375
563,11713.8466796875
564,12937.3583984375
565,25931.15625
566,38445.86328125
567,30713.50390625
568,19999.5546875
569,24737.037109375
570,48994.62890625
571,170400.46875
572,14373.6484375
573,27280.857421875
574,50949.171875
575,33497.3359375
576,2515.260498046875
577,171
578,786
579,55.50880813598633
580,283
581,1510
582,4
583,0
584,0
594,659
595,224.86659240722656
596,2047.5989990234375
597,5314.34423828125
598,10750.1884765625
599,100706.2890625
600,70473.046875
601,16529.640625
602,7344.84912109375
603,13094.03125
604,41834.5546875
605,31469.134765625
606,21006.916015625
607,30715.083984375
608,22417.255859375
609,55159.1015625
610,36649.11328125
611,10734.205078125
612,18248.193359375
613,12931.1923828125
614,3701.23828125
615,3202.413330078125
616,2841.6064453125
617,2360.3935546875
618,448.4911804199219
619,409
620,434
621,35
622,124
623,0
630,230
631,924.019775390625
632,867.847900390625
