gridid,dist_px_sum
21,0
22,0
30,941
31,452
32,106
42,13701.916015625
43,8246.083984375
44,2722.857177734375
45,1095
46,0
59,141
60,207
61,961
67,1698
68,1195.3046875
72,137
73,28
79,23
80,1223.504150390625
81,4134.0087890625
82,1250.4869384765625
83,5478.8974609375
84,1783.2452392578125
85,2235
86,247
98,454
99,2595
100,3929.305908203125
101,12682.6162109375
104,0
105,1561.090576171875
106,12594.9091796875
107,2838.6953125
108,12
111,441.21771240234375
112,158.7823028564453
118,41179.8984375
119,10120.62890625
120,22056.37109375
121,12636
122,10839
123,13222.4228515625
124,1512.3299560546875
125,8254.2470703125
126,2223
128,19
129,9
133,1467
134,1843.31689453125
139,14
140,25499.751953125
141,231
143,0
144,5820
145,10258.58203125
146,9600.017578125
147,1799.094970703125
148,0
157,37966.140625
158,11701.2333984375
159,5536.58056640625
160,5984.154296875
161,8980.79296875
162,17
163,4056.658447265625
164,8792.064453125
165,637
167,1392
168,2171
172,1637.41357421875
173,29243.53515625
178,34047.828125
179,13645.3876953125
180,299
181,26
182,12521.310546875
183,56109.33203125
184,17940.52734375
185,8625.15625
187,571.09814453125
188,396.9018249511719
196,92722.734375
197,193212.796875
198,11461.32421875
199,12256.8974609375
200,21982.8984375
201,2551
202,21657
203,8089.4921875
204,31120.734375
205,706.72869873046875
211,521.22015380859375
212,11552.5146484375
214,0
215,3076.289306640625
216,17797.150390625
217,18675.05859375
218,6253.59423828125
219,1490.871337890625
220,2761.204345703125
221,16306.7314453125
222,77393.921875
223,20437.595703125
224,12664.9921875
225,143
226,50
235,26019.6015625
236,388529.09375
237,109901.203125
238,29246.451171875
239,22038.8359375
240,17792.98046875
241,36488.51171875
242,11888.6015625
243,784
244,9385.146484375
245,10624.9326171875
246,1388.008544921875
250,12327.6953125
251,9999.20703125
252,2389
253,15360.720703125
254,15257.8447265625
255,27287.298828125
256,8257.267578125
257,92.68226623535156
259,6942.87353515625
260,50280.44140625
261,135780.984375
262,78359.0390625
263,39234.6640625
264,8850.8486328125
265,5636.14990234375
275,313637.90625
