gridid,forest_px_sum,dist_px_sum,rate
21,3710.274658203125,13.794871794871796,0.003718019032465001
22,10800.3564453125,42.794871794871796,0.003962357354737616
30,325444.9375,1068.4033375275442,0.0032829004676944596
31,200433.734375,712.4599977150941,0.003554591246512039
32,117315.3359375,141.21358705178287,0.0012037095229136515
42,1426094,22973.557823768027,0.016109427445713975
43,872870.9375,9804.129932892629,0.011232049907598888
44,354566.40625,2255.823193672376,0.006362202267074973
45,177911.171875,544.8996229416285,0.0030627622605087093
46,10478.4580078125,55.38461538461539,0.005285569245333796
59,115442.4765625,785.9810736240485,0.0068084217961013865
60,244395,2879.6708319248296,0.011782854935349862
61,367093.15625,2304.981241470728,0.006279009025984063
67,993805.5625,7101.284096742288,0.0071455467394229725
68,733907.375,5085.560510879908,0.006929430993767992
72,244786.21875,2126.9588963435244,0.008689046741294641
73,35022.89453125,415.0298443085108,0.011850243957939875
79,17098.1640625,114.8784570204906,0.006718759780323087
80,186331.703125,4682.270291841947,0.02512868295257765
81,561971.25,9199.820184169672,0.016370624269781902
82,516806.6875,2279.1373901367188,0.004410038502330175
83,997719.375,3507.215335161258,0.0035152322617381846
84,1587942.5,3235.591483091697,0.0020375999024471584
85,777046.875,2117.489983974359,0.0027250479373903394
86,73167.5703125,237.84504582331732,0.003250689407991503
98,124097.5546875,1318.960227770683,0.010628414323650958
99,708661.3125,9045.461907802484,0.012764153691263462
100,1322136.375,13059.023493840145,0.009877213682922947
101,1433523.625,13961.784279847756,0.009739486700017069
104,0,0,NA
105,395911.78125,3883.6928992638223,0.009809490606725466
106,4102035.75,28749.40393379407,0.007008569814096347
107,1290018.25,6288.577035757212,0.004874796954040931
108,32541.8359375,174.23076923076923,0.005354054687184757
111,114084.7421875,420.8173047090188,0.003688637907577502
112,108636.1484375,500.424738468268,0.004606429311659275
118,2514389.5,91291.75626001603,0.03630772251475598
119,1421258.875,23982.03461788862,0.016873797616840647
120,3645626.75,54656.38381410256,0.014992314782116014
121,2754575.75,24870.22333233173,0.009028694648289027
122,3470218.5,25912.6920322516,0.007467164396781241
123,3137827.5,14317.962740384615,0.004563017801451678
124,2409373.75,6886.09064816206,0.002858041699907314
125,2731194,20722.142869215746,0.007587210161275891
126,160718.9375,2425.4015186016377,0.015090950427678367
128,65659.1796875,920.8813263330704,0.014025172576263317
129,10711.8896484375,89.84334192520532,0.008387254244941779
133,1541895,12975.882537059295,0.008415542262643886
134,1340274,10108.467502691807,0.007542090276086686
139,10583.146484375,69.12033491868239,0.006531170575852081
140,3521301.75,40112.252629206734,0.011391313632581114
141,8447.92578125,131.6344491029397,0.015581866189579895
143,0,0,NA
144,2148147.5,12191.614561423277,0.005675408491001329
145,3841683.5,10085.382537059295,0.0026252507623439813
146,2206358.75,15686.199847881611,0.007109541840320216
147,536188.5,3721.0596720377603,0.006939834912605847
148,2324.807861328125,5.360276662386381,0.002305685881208326
157,2299096.5,59440.2242588141,0.025853731784992104
158,1483001.25,26152.84467648237,0.01763507932072368
159,1591691.5,19392.85344050481,0.012183801597548777
160,1755378.625,14633.864958934295,0.008336586050735518
161,3876667,29663.355568910258,0.007651767760529924
162,601368.4375,1334.6543469551282,0.0022193621476104294
163,1914746.875,9841.663567958734,0.0051399293015995835
164,4868060.5,54731.72413361378,0.011243024636529021
165,435577.84375,5424.337335048578,0.01245319846470859
167,582945.8125,5270.532323592748,0.00904120453492879
168,327276.09375,3382.1275754097182,0.010334172400606998
172,1277690.125,9992.524733323316,0.007820773235860546
173,3148077.75,25470.725830078125,0.008090882072425983
178,2864871.75,30485.47991786859,0.010641132510685195
179,2012455.625,14836.349959935897,0.007372261915060063
180,18763.6875,239.56410256410257,0.012767431911456774
181,9049.8447265625,64.50912319085536,0.007128202211195126
182,1989337.25,11185.790614983975,0.0056228729517752585
183,5550820,21241.72563601763,0.0038267725554094042
184,2652374.25,15709.830259665465,0.005922931222720725
185,1108284.625,10886.528846153846,0.00982286373065389
187,320332.46875,1652.2972580347305,0.005158069878093588
188,85916.875,465.5405995295598,0.005418500143651172
196,1981651.875,73985.63228665866,0.03733533282007903
197,4063218.25,154696.58102964744,0.03807242720216849
198,1396876.625,24686.787998297277,0.017672847806653846
199,3229783.75,20121.85798527644,0.006230094502542606
200,2801347.25,19267.28789813702,0.006877864890950959
201,897369.3125,2704.383969037961,0.003013680021555184
202,5408191.5,19649.36430789263,0.003633259714988389
203,3504243.25,17315.596410506812,0.004941322612380523
204,3722285.75,22140.60985076122,0.005948122024420403
205,337031.4375,2995.063194861779,0.00888659887955342
211,537531.0625,4377.006532326723,0.008142797389177342
212,2112431,16825.713053385418,0.007965094743158672
214,0,0,NA
215,467164.125,4796.156929211739,0.010266535190842703
216,1936863.75,19509.11967898638,0.010072530749251917
217,2421269.75,19314.4661708734,0.00797699891590906
218,749933.1875,9634.50912084335,0.012847156628660802
219,104958.171875,1648.3178304036458,0.015704521153119082
220,181168.40625,2518.5152697440903,0.013901514739102533
221,2904864.75,21288.68891476362,0.007328633429409621
222,4157429.5,22690.7642978766,0.005457883121740633
223,2158705.75,11859.76938726963,0.005493925880018446
224,1819976.25,14256.779872796475,0.007833497757345171
225,45022.64453125,91.2848977309007,0.0020275330043649543
226,29877.662109375,67.72624177199144,0.0022667851829926253
235,903963.125,38048.32431578025,0.04209057124512712
236,7287213.5,344667.7243589744,0.04729760207505576
237,3553564.5,102171.8515625,0.028751933885680137
238,2473920.5,30882.66609074519,0.012483289616923904
239,2108050.5,17612.779947916668,0.008355008548379969
240,4033372.75,20599.53039863782,0.005107271674465947
241,3025219.25,19629.955603966348,0.006488771220124408
242,1626779.375,6594.856376452323,0.004053934096903781
243,1031655.625,3231.2965400891426,0.0031321464854991146
244,3404894.25,24007.983673878207,0.007051021826559873
245,4757533.5,46903.22658754006,0.00985872755021905
246,330845.5,3448.992455115685,0.010424782731261828
250,1766451.75,14953.861127804486,0.008465479528554622
251,3086343.75,24874.14416816907,0.008059421173733181
252,56931.296875,788.6884262867463,0.013853336733544178
253,1065401.875,14652.312757443158,0.013752850545192779
254,4180328.5,26675.372880984574,0.006381166666922127
255,3552970.75,22604.72746394231,0.006362204772989564
256,808147.25,7869.41146459335,0.009737596044029538
257,4832.3115234375,48.36949497614151,0.010009597837710082
259,644689.4375,6695.726697090345,0.010385972388589576
260,5199448,34965.214668469554,0.006724793606642389
261,5081735.5,36694.529747596156,0.007220865735258389
262,4333638.5,33959.01685196314,0.007836144351210453
263,3919985.25,28872.65840344551,0.007365501797091076
264,1815262.875,8554.919374123598,0.004712771627703562
265,1075898.75,9348.838363256209,0.008689329142966482
275,4304639,202519.82932692306,0.04704687880375638
276,3811863.5,104955.5078125,0.02753391033348912
277,2676844,52675.808253361625,0.01967832576472952
278,848062.625,9536.5882036258,0.011245146198520187
279,2436500.5,16256.285919971955,0.0066719813601400675
280,4862161.5,52892.987379807695,0.010878492493473878
281,2217396,13421.077993539664,0.006052630199359818
282,4877862.5,12221.228956956129,0.0025054476129567262
283,5904781,27856.761505909457,0.004717662095496761
284,7234242,43884.194536258015,0.006066177290759421
285,505145.0625,5192.971987993289,0.010280159846149717
287,834563.3125,11998.95294971955,0.014377522675632295
288,80562.1484375,1162.5796538132888,0.014430842230023402
289,180448.078125,2902.8921336638623,0.016087132452876393
290,1020172.6875,18737.8721194145,0.01836735324225635
291,2746355.5,40005.36758814102,0.014566711260847702
292,3436989.25,45217.1734775641,0.013156041578414625
293,4235452.5,19692.241536458332,0.004649383161883726
294,92629.9609375,210.0588897802891,0.002267720807115763
296,432037.5625,4972.579489683493,0.011509599908187366
297,2697868.5,33025.61693709936,0.012241373861290629
298,5718580,47308.477989783656,0.008272766664064096
299,5174950,44968.394230769234,0.008689628736658177
300,4640478,37501.818171574516,0.0080814558697562
301,6274884.5,36145.742362780446,0.005760383695154938
302,7566059.5,42589.3938301282,0.0056290059350086
303,5234518,34478.44815454727,0.006586747462621635
304,2217164.75,19751.08790314503,0.008908263539344576
314,4460617.5,191029.68389423078,0.042825838327144344
315,7668381,263089.7239583333,0.03430837929914193
316,6649877,188605.5680088141,0.028362264145459247
317,4143148,57414.09202223558,0.013857601037239214
318,4988372.5,61174.5719150641,0.012263432996446055
319,5561537.5,75823.57892628205,0.013633564266406915
320,5209564.5,30297.442407852563,0.005815734195795553
321,3869316.25,13393.136549729566,0.0034613703518624425
322,2445267.75,12023.787027994791,0.004917165831019851
323,3252139.75,19319.554030198316,0.005940566985228208
324,4081279.25,28939.802077073316,0.00709086546260546
325,1703680.5,15225.99934739333,0.00893712133665516
326,5645903.5,56314.0680088141,0.00997432350886162
327,4567094,33792.99717047276,0.007399233992221916
328,1395686.875,7559.672954852765,0.005416453425380793
329,764301.9375,3843.0936185396636,0.005028240057993656
330,4650759,30668.08130508814,0.006594209956931362
