gridid,forest_px_sum,dist_px_sum,rate
21,3710.274658203125,12.875,0.003470093506833622
22,10800.3564453125,59,0.005462782668215251
30,325444.9375,827.9428443908691,0.002544033564482376
31,200433.734375,1038.0538902282715,0.005179037817487012
32,117315.3359375,155.7532730102539,0.001327646311248103
42,1426094,11918.897216796875,0.008357722013273231
43,872870.9375,13914.655456542969,0.015941251860665792
44,354566.40625,2632.5616397857666,0.007424735094417215
45,177911.171875,144.64134454727173,8.129975370456018e-4
46,10478.4580078125,13.75,0.0013122159758380777
59,115442.4765625,794.0072402954102,0.0068779470428767045
60,244395,3986.4908752441406,0.01631167116857604
61,367093.15625,3092.393096923828,0.008424000949823832
67,993805.5625,5337.926055908203,0.005371197603764874
68,733907.375,8885.602210998535,0.012107252922752733
72,244786.21875,2113.0449199676514,0.008632205402566812
73,35022.89453125,374.82330322265625,0.010702236586647953
79,17098.1640625,182.875,0.01069559277426076
80,186331.703125,5524.253135681152,0.029647413956041747
81,561971.25,8125.919647216797,0.014459671464006027
82,516806.6875,1226.9854583740234,0.0023741671461517677
83,997719.375,1573.0574188232422,0.0015766531734669803
84,1587942.5,4676.090042114258,0.0029447477110249635
85,777046.875,1970.551170349121,0.0025359489031457996
86,73167.5703125,359.95724964141846,0.004919628301227369
98,124097.5546875,2138.103759765625,0.017229217490624657
99,708661.3125,7816.0076904296875,0.011029256927906145
100,1322136.375,9405.770904541016,0.0071140701385974765
101,1433523.625,12348.583740234375,0.008614147353333207
104,0,0,NA
105,395911.78125,2910.3533782958984,0.007351014837464876
106,4102035.75,20745.468627929688,0.005057359294815918
107,1290018.25,10984.083862304688,0.008514673232184652
108,32541.8359375,181.75,0.005585118195207852
111,114084.7421875,701.1348450183868,0.006145737208802743
112,108636.1484375,1039.6220083236694,0.00956976129287002
118,2514389.5,106465.12060546875,0.04234233423479884
119,1421258.875,15419.250793457031,0.010849009328759358
120,3645626.75,43985.09521484375,0.012065166905757357
121,2754575.75,21056.052368164062,0.0076440273490987
122,3470218.5,17515.289916992188,0.005047316160925367
123,3137827.5,7831.5877685546875,0.0024958630672191786
124,2409373.75,8103.166473388672,0.0033631836793227583
125,2731194,14754.638549804688,0.005402266755786915
126,160718.9375,1412.244255065918,0.008787043250991614
128,65659.1796875,392.9075469970703,0.0059840459303190305
129,10711.8896484375,61.56486511230469,0.005747339370816325
133,1541895,8920.5380859375,0.005785438104369947
134,1340274,4469.304466247559,0.0033346199853519195
139,10583.146484375,88.17769241333008,0.008331897564067168
140,3521301.75,29046.418579101562,0.008248772937196183
141,8447.92578125,170.4882984161377,0.02018108383415643
143,0,0,NA
144,2148147.5,5104.304748535156,0.002376142582636973
145,3841683.5,4391.03515625,0.001142997635346587
146,2206358.75,31494.325256347656,0.014274344666907707
147,536188.5,3511.9300689697266,0.006549804908105502
148,2324.807861328125,11.188802719116211,0.004812785996312069
157,2299096.5,64399.7451171875,0.028010892590714438
158,1483001.25,27848.683227539062,0.018778597271943677
159,1591691.5,13120.753295898438,0.008243276599704426
160,1755378.625,13453.456665039062,0.007664133807621739
161,3876667,33956.01171875,0.008759073636902525
162,601368.4375,1237.609375,0.002057988577094221
163,1914746.875,10767.261291503906,0.005623334045918684
164,4868060.5,38120.48846435547,0.00783073432722446
165,435577.84375,4317.500358581543,0.00991212115246976
167,582945.8125,4733.0135498046875,0.008119131226806244
168,327276.09375,1981.264066696167,0.006053800153853025
172,1277690.125,6474.326568603516,0.005067211870799671
173,3148077.75,20761.79852294922,0.006595071714143407
178,2864871.75,24441.920043945312,0.008531593096251277
179,2012455.625,9722.878112792969,0.004831350312528242
180,18763.6875,115.25,0.006142182873169253
181,9049.8447265625,49.875,0.0055111442800350186
182,1989337.25,5148.541473388672,0.002588068701467623
183,5550820,13500.457153320312,0.0024321554569091256
184,2652374.25,6749.011810302734,0.002544517166196563
185,1108284.625,24642.944061279297,0.02223521242233176
187,320332.46875,2809.9570922851562,0.008772002111587872
188,85916.875,661.5,0.0076993023780252716
196,1981651.875,75074.70654296875,0.03788491182033108
197,4063218.25,188590.07421875,0.04641396612617351
198,1396876.625,22174.028564453125,0.01587400645669271
199,3229783.75,17954.75439453125,0.005559119676210907
200,2801347.25,20322.153259277344,0.007254421335761692
201,897369.3125,2488.3958435058594,0.002772989680885549
202,5408191.5,20392.258056640625,0.003770624257044268
203,3504243.25,19550.76776123047,0.005579169699829048
204,3722285.75,13399.494079589844,0.003599802642661124
205,337031.4375,2500.7280883789062,0.0074198659535400354
211,537531.0625,1821.954490661621,0.0033894868925116698
